Name,User,Startdate,Enddate,trap_type,trap_code,trap_status,PBS_code,PBS_type,number_containers,Field_visit_completed,remarks,contact_person_name,contact_person_email,contact_person_tel,contact_remarks,PoE_name,PoE_code,PoE_type,PoE_street,PoE_municipality,PoE_website,PoE_remarks
M17PZO092OKT25,Isra Deblauwe,25-10-2017 02:00:00,22-11-2017 07:37:49,Oviposition trap,O092,Polystyrene gone,,,,Yes,,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17HAO262SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 10:34:49,Oviposition trap,O262,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17BAO061SEP28,Isra Deblauwe,28-09-2017 02:00:00,13-10-2017 12:39:14,Oviposition trap,O061,Polystyrene gone,,,,Yes,dryed out. new placed on 13/10,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17HAO264SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 10:35:56,Oviposition trap,O264,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ATL004OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17MMO225OKT03,Isra Deblauwe,03-10-2017 02:00:00,31-10-2017 11:49:13,Oviposition trap,O225,OK,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17RAO143OKT17,Isra Deblauwe,17-10-2017 02:00:00,14-11-2017 09:42:29,Oviposition trap,O143,OK,,,,Yes,,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17PAO024AUG29,Isra Deblauwe,29-08-2017 02:00:00,26-09-2017 12:05:32,Oviposition trap,O024,OK,,,,Yes,,Lazlo Avonts (of Nele Vanham),lazlo.avonts@favv.be,03 543 66 40,"FAVV GIP (of douane: Bram Bryssinckx: bram.bryssinckx@minfin.fed.be 0257 873 56 of 04707 873 56 ), tel GIP LO: 03/570 29 29",Border Inspection Post Linkeroever Port Antwerp,PA,Port,"Sint-Antoniusweg, kaai 1795",Kallo,,
M17EBL009DEC06,Isra Deblauwe,06-12-2017 01:00:00,,Larval sampling,,,,,,No,,Marc Makelberge,info@eurobonsai.be,09 356 80 28,,Euro Bonsai,EB,Lucky bamboo company,Hoekskensstraat 105a,Lochristi,http://www.eurobonsai.be/,
M17MMO206SEP05,Isra Deblauwe,05-09-2017 02:00:00,03-10-2017 10:15:03,Oviposition trap,O206,Polystyrene next to trap,,,,Yes,nibbled on,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17E3O124AUG28,Isra Deblauwe,28-08-2017 02:00:00,25-09-2017 13:32:03,Oviposition trap,O124,Stopped working,,,,Yes,pot gone polystyrene on the ground,,contact@hotel-pole-europeen.com ,063 380 120,,E411 (A28) Hotel Le Pôle Européen (Aubange),E3,Parking lot,Complexe douanier et autoroutier,Aubange,http://www.hotel-pole-europeen.com/frame2.html,
M17E3L010OKT23,Isra Deblauwe,23-10-2017 02:00:00,,Larval sampling,,,,,,No,,,contact@hotel-pole-europeen.com ,063 380 120,,E411 (A28) Hotel Le Pôle Européen (Aubange),E3,Parking lot,Complexe douanier et autoroutier,Aubange,http://www.hotel-pole-europeen.com/frame2.html,
M17VPB015NOV17,Isra Deblauwe,17-11-2017 01:00:00,30-11-2017 09:48:20,BG-Sentinel trap,B015,OK,,,,Yes,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17HAL026OKT16,Isra Deblauwe,16-10-2017 02:00:00,16-10-2017 12:24:44,Larval sampling,,,hal026,Plastic sheet,2,Yes,no larvae zone 1 (old hal001),Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17E9L006OKT13,Isra Deblauwe,13-10-2017 02:00:00,,Larval sampling,,,,,,No,,"Grégory Deramaix, Chef de Service (service environnement)",,065 76 73 69,"restaurant Tourisme shop gelegen in Frankrijk! (0033 3 27 45 40 86, http://www.118218.fr/saint-aybert-59/restaurant/115498367-tourisme-shop.html)",E19 (A2) ,E9,Parking lot,Hensies,Hensies,,
M17MCL001OKT12,Isra Deblauwe,12-10-2017 02:00:00,12-10-2017 14:06:39,Larval sampling,,,MCL001,Plastic sheet,2,Yes,,Isabelle Libert,rh@jacquesremy.com,071 44 60 01,,Marché de Gros Marcinelle,MC,Wholesale market,Rue des Forgerons 102,Charleroi,http://jacquesremy.com/home/,di of do bellen net na middag dan rustig
M17HAO282SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 17:47:23,Oviposition trap,O282,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17MMO204AUG24,Isra Deblauwe,24-08-2017 02:00:00,05-09-2017 16:22:44,Oviposition trap,O204,OK,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17SPO319OKT02,Isra Deblauwe,02-10-2017 02:00:00,30-10-2017 09:25:27,Oviposition trap,O319,OK,,,,Yes,,Ludwig Van Assche,sarripneus@skynet.be,083 21 29 68,,Ets Sarri Pneus,SP,Used tyre import company,Chaussée de Namur 7,Natoye,,
M17RAO150OKT17,Isra Deblauwe,17-10-2017 02:00:00,14-11-2017 09:16:15,Oviposition trap,O150,Polystyrene gone,,,,Yes,,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17ABL004OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),agrityre@1261.be,03 730 20 00,,Agrityre (AtoB),AB,Used tyre import company,Hazopweg 1261,Kallo,http://www.agrityre.be/index.html,zelfde zaakvoerder als ATB
M17ALL004OKT20,Isra Deblauwe,20-10-2017 02:00:00,20-10-2017 11:21:24,Larval sampling,,,ALL004,Plastic sheet,3,Yes,"black, red and white  sheet",William Luwaert,william.luwaert@afsca.be,0478 80 99 32,,Liège Airport (Avia-partner),AL,Airport,"PIF Liège – Bierset, SAB SA",Grâce-Hologne,http://www.liegeairport.com/fr/cargo,"Aviapartner hangar, arrival vegetables, fruits and flowers, fixed day contact in advance (1h)"
M17HAO267AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 09:31:10,Oviposition trap,O267,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ATL009OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17SPO311AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 10:40:38,Oviposition trap,O311,OK,,,,Yes,,Ludwig Van Assche,sarripneus@skynet.be,083 21 29 68,,Ets Sarri Pneus,SP,Used tyre import company,Chaussée de Namur 7,Natoye,,
M17MMO202OKT03,Isra Deblauwe,03-10-2017 02:00:00,31-10-2017 13:08:18,Oviposition trap,O202,Polystyrene next to trap,,,,Yes,nibbled on by animals ,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17HAO269SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 10:44:17,Oviposition trap,O269,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17E4L006SEP19,Isra Deblauwe,19-09-2017 12:00:17,19-09-2017 12:00:23,Larval sampling,,,e4l006,Plastic container,1,Yes,black big bucket,,,,,,E4,,,,,
M17ATL008OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17ATL004SEP12,Isra Deblauwe,12-09-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17BAM029AUG31,Isra Deblauwe,31-08-2017 02:00:00,15-09-2017 10:08:33,Mosquito Magnet trap,M029,OK,,,,Yes,,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17E9O073SEP15,Isra Deblauwe,15-09-2017 02:00:00,13-10-2017 14:17:04,Oviposition trap,O073,OK,,,,Yes,pipi ,"Grégory Deramaix, Chef de Service (service environnement)",,065 76 73 69,"restaurant Tourisme shop gelegen in Frankrijk! (0033 3 27 45 40 86, http://www.118218.fr/saint-aybert-59/restaurant/115498367-tourisme-shop.html)",E19 (A2) ,E9,Parking lot,Hensies,Hensies,,
M17HAO296SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 15:51:29,Oviposition trap,O296,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17HAO290AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 11:26:52,Oviposition trap,O290,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17HAL027OKT16,Isra Deblauwe,16-10-2017 02:00:00,16-10-2017 12:26:04,Larval sampling,,,hal027,Tyre,52,Yes,zone 1 (old hal002),Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ACO054AUG31,Isra Deblauwe,31-08-2017 02:00:00,28-09-2017 12:05:37,Oviposition trap,O054,OK,,,,Yes,,Jean-François Stéphenne (Health & Safety Manager),serviceinformation@charleroi-airport.com,071 25 19 47,,Brussels South Charleroi Airport,AC,Airport,Rue d'Heppignies,Ransart,http://www.charleroi-airport.com/brussels-south-charleroi-airport/index.html,
M17PZO091OKT25,Isra Deblauwe,25-10-2017 02:00:00,22-11-2017 07:36:15,Oviposition trap,O091,Polystyrene gone,,,,Yes,,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17MMO216SEP05,Isra Deblauwe,05-09-2017 02:00:00,03-10-2017 15:52:55,Oviposition trap,O216,OK,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17AZL002OKT10,Isra Deblauwe,10-10-2017 02:00:00,10-10-2017 12:11:11,Larval sampling,,,AZL002,Metal container,3,Yes,2 inside and 1 outside swissport,Joris Parmentier (FAVV),JORIS.PARMENTIER@favv.be,02 753 42 83,"Ronald Dom (hoofd brandweer, ronald.dom@brusselsairport.be); Marc Bogaerts (Cargo & Logistics Operations Manager, Marc.Bogaerts@brusselsairport.be)",Brussels Airport (Brucargo),AZ,Airport,"Brucargo building 706, BP 36 - Kamer 7307",Zwaventem,http://www.brucargoairfreight.be/nl/wereldwijd-netwerk/,"Swiss Port hangar, arrival vegetables and fruits"
M17PZM036SEP13,Isra Deblauwe,13-09-2017 02:00:00,27-09-2017 08:28:34,Mosquito Magnet trap,M036,Stopped working,,,,Yes,red led flashing - 27/09 - change tank + octenol + battery - wait 10min - green led =ok ,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17ABO020OKT24,Isra Deblauwe,24-10-2017 02:00:00,21-11-2017 10:35:54,Oviposition trap,O020,OK,,,,Yes,"polystyrene was swaped with o018, polysterene 18 was in pot 20 and polystyrene 20 was in pot 18",Hans Bernaert (zaakvoerder),agrityre@1261.be,03 730 20 00,,Agrityre (AtoB),AB,Used tyre import company,Hazopweg 1261,Kallo,http://www.agrityre.be/index.html,zelfde zaakvoerder als ATB
M17ACO059AUG31,Isra Deblauwe,31-08-2017 02:00:00,28-09-2017 12:10:53,Oviposition trap,O059,OK,,,,Yes,new position by the entery 9 on te left
to be labled - 28/09 - change location to right side of entry - safer for people passage,Jean-François Stéphenne (Health & Safety Manager),serviceinformation@charleroi-airport.com,071 25 19 47,,Brussels South Charleroi Airport,AC,Airport,Rue d'Heppignies,Ransart,http://www.charleroi-airport.com/brussels-south-charleroi-airport/index.html,
M17VPL009OKT20,Isra Deblauwe,20-10-2017 02:00:00,,Larval sampling,,,,,,No,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17ACL004OKT12,Isra Deblauwe,12-10-2017 02:00:00,12-10-2017 11:24:28,Larval sampling,,,ACL004,Plastic container,1,Yes,,Jean-François Stéphenne (Health & Safety Manager),serviceinformation@charleroi-airport.com,071 25 19 47,,Brussels South Charleroi Airport,AC,Airport,Rue d'Heppignies,Ransart,http://www.charleroi-airport.com/brussels-south-charleroi-airport/index.html,
M17MCO046SEP28,Isra Deblauwe,28-09-2017 02:00:00,26-10-2017 08:40:43,Oviposition trap,O046,OK,,,,Yes,,Isabelle Libert,rh@jacquesremy.com,071 44 60 01,,Marché de Gros Marcinelle,MC,Wholesale market,Rue des Forgerons 102,Charleroi,http://jacquesremy.com/home/,di of do bellen net na middag dan rustig
M17HAO278OKT02,Isra Deblauwe,02-10-2017 02:00:00,30-10-2017 11:28:28,Oviposition trap,O278,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17MCM028OKT12,Isra Deblauwe,12-10-2017 02:00:00,26-10-2017 08:27:07,Mosquito Magnet trap,M028,OK,,,,Yes,,Isabelle Libert,rh@jacquesremy.com,071 44 60 01,,Marché de Gros Marcinelle,MC,Wholesale market,Rue des Forgerons 102,Charleroi,http://jacquesremy.com/home/,di of do bellen net na middag dan rustig
M17E2O117OKT23,Isra Deblauwe,23-10-2017 02:00:00,20-11-2017 13:47:04,Oviposition trap,O117,OK,,,,Yes,,Marlene Jacobs (hoofdverantwoordelijke Autogrill),,0477 80 08 57,tel van AC hotel in Messancy: 063 23 32 54,E411 (E25) AC Hotel Arlon (Messancy),E2,Parking lot,Aire de Hondelange,Messancy,http://www.autogrill.be/nl/search/site/messancy ,
M17HAL016SEP04,Isra Deblauwe,04-09-2017 15:40:23,04-09-2017 15:40:28,Larval sampling,,,hal016,Plastic container,1,Yes,horse drinking trough,,,,,,HA,,,,,
M17E4L005OKT17,Isra Deblauwe,17-10-2017 02:00:00,,Larval sampling,,,,,,No,,,H6322@accor.com ,087 85 11 00,,E40 (A3) Hotel Ibis (Raeren),E4,Parking lot,Aire de repos de Lichtenbusch Autoroute E40 n°4,Raeren,https://www.accorhotels.com/nl/hotel-6322-ibis-budget-aachen-raeren-grenze/index.shtml#section-location ,
M17MBL002OKT18,Isra Deblauwe,18-10-2017 02:00:00,,Larval sampling,,,,,,No,,Maurice (zaakvoerder) of Jan Broums (chef werkplaats),sales@maaslandbanden.be,089 65 68 33,,Maaslandbanden,MB,Used tyre import company,Meerkensstraat 41,Dilsen-Stokkem,http://www.maaslandbanden.com/,
M17ACO053OKT26,Isra Deblauwe,26-10-2017 02:00:00,24-11-2017 11:30:31,Oviposition trap,O053,OK,,,,Yes,almost dry,Jean-François Stéphenne (Health & Safety Manager),serviceinformation@charleroi-airport.com,071 25 19 47,,Brussels South Charleroi Airport,AC,Airport,Rue d'Heppignies,Ransart,http://www.charleroi-airport.com/brussels-south-charleroi-airport/index.html,
M17RAO134OKT17,Isra Deblauwe,17-10-2017 02:00:00,14-11-2017 10:47:48,Oviposition trap,O134,Polystyrene next to trap,,,,Yes,nibbled on by animals ,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17MMO191OKT03,Isra Deblauwe,03-10-2017 02:00:00,31-10-2017 09:17:12,Oviposition trap,O191,Polystyrene next to trap,,,,Yes,nibbled on by animals ,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17VPO239SEP08,Isra Deblauwe,08-09-2017 02:00:00,06-10-2017 11:21:57,Oviposition trap,O239,Polystyrene next to trap,,,,Yes,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17ALO257OKT06,Isra Deblauwe,06-10-2017 02:00:00,03-11-2017 11:37:00,Oviposition trap,O257,OK,,,,Yes,,William Luwaert,william.luwaert@afsca.be,0478 80 99 32,,Liège Airport (Avia-partner),AL,Airport,"PIF Liège – Bierset, SAB SA",Grâce-Hologne,http://www.liegeairport.com/fr/cargo,"Aviapartner hangar, arrival vegetables, fruits and flowers, fixed day contact in advance (1h)"
M17RAO131SEP20,Isra Deblauwe,20-09-2017 17:27:21,17-10-2017 15:00:56,Oviposition trap,O131,Polystyrene gone,,,,Yes,trap gone ,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17ACO056AUG17,Isra Deblauwe,17-08-2017 02:00:00,31-08-2017 14:02:34,Oviposition trap,O056,OK,,,,Yes,heel veel water verdampt,Jean-François Stéphenne (Health & Safety Manager),serviceinformation@charleroi-airport.com,071 25 19 47,,Brussels South Charleroi Airport,AC,Airport,Rue d'Heppignies,Ransart,http://www.charleroi-airport.com/brussels-south-charleroi-airport/index.html,
M17HAO297AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 13:59:46,Oviposition trap,O297,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ROO157AUG22,Isra Deblauwe,22-08-2017 02:00:00,20-09-2017 12:25:24,Oviposition trap,O157,OK,,,,Yes,,,,,,Rocherath - Büllingen,RO,Cemetry,Rocherath 40,Büllingen,,
M17MMO198AUG24,Isra Deblauwe,24-08-2017 02:00:00,05-09-2017 10:05:02,Oviposition trap,O198,Polystyrene next to trap,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17HAO265OKT30,Isra Deblauwe,30-10-2017 01:00:00,27-11-2017 07:56:30,Oviposition trap,O265,OK,,,,Yes,new tyre see foto ,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17MCO041SEP28,Isra Deblauwe,28-09-2017 02:00:00,26-10-2017 08:37:35,Oviposition trap,O041,OK,,,,Yes,,Isabelle Libert,rh@jacquesremy.com,071 44 60 01,,Marché de Gros Marcinelle,MC,Wholesale market,Rue des Forgerons 102,Charleroi,http://jacquesremy.com/home/,di of do bellen net na middag dan rustig
M17ATB009SEP12,Isra Deblauwe,12-09-2017 02:00:00,26-09-2017 09:06:07,BG-Sentinel trap,B007,OK,,,,Yes,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17VPO236AUG25,Isra Deblauwe,25-08-2017 02:00:00,08-09-2017 14:07:11,Oviposition trap,O236,OK,,,,Yes,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
