"Tube Number";"Sampling Code";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Status";"Identifier";"Date ID";"Comments"
"EM020";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM021";"M1M003W28";"Coquillettidia";"richiardii";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs, no wings"
"EM022";"M1M003W28";"Aedes";"cinereus/geminus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM023";"EVM010Jul";"Culiseta";"annulata";"F";1;"EV01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM024";"DIM014Jul";"Culex";"torrentium";"F";1;"DI01";"KB25, closet 123";"Gravid";"Isra";2012/8/14 0:00:00;"no legs"
"EM025";"EPM007Jul";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"no legs, wings, few scales"
"EM026";"EPM007Jul";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"no legs, wings, few scales"
"EM027";"EPM007Jul";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"few legs, 1 wing"
"EM028";"EPM007Jul";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"no legs"
"EM029";"EPM007Jul";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;
"EM030";"PGM005Jul";"Culex";"pipiens";"F";1;"PG01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"no legs, 1 wing, few scales"
"EM031";"PGM005Jul";"Culex";"pipiens";"F";1;"PG01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;
"EM032";"PGM005Jul";"Culex";"pipiens";"F";1;"PG01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"flat, few scales"
"EM033";"PGM005Jul";"Culex";"pipiens";"F";1;"PG01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;"few legs"
"EM034";"PGM005Jul";"Culex";"pipiens";"F";1;"PG01";"KB25, closet 123";"Empty";"Isra";2012/8/14 0:00:00;
"EM035";"VPM004Jul";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"no legs, wings, no scales"
"EM036";"VPM004Jul";"Culex";"pipiens?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"no legs, wings, few scales"
"EM037";"VPM004Jul";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"no legs, wings, no scales"
"EM038";"VPM004Jul";"Culex";"pipiens?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"no legs, wings, few scales"
"EM039";"VPM004Jul";"Culex";"pipiens?";"F";1;"VP01";"KB25, closet 123";"No abdomen";"Isra";2012/8/16 0:00:00;"no legs, wings, few scales, no abdomen"
"EM040";"M1M003W29";"Coquillettidia";"richiardii";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"few legs, few scales"
"EM041";"M1M003W29";"Coquillettidia";"richiardii";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"few legs, few scales"
"EM042";"M1M003W29";"Aedes";"geniculatus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;"no tarsi, few scales"
"EM043";"AOM009Jul";"Culiseta";"annulata";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;
"EM044";"AOM009Jul";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;
"EM045";"AOM009Jul";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;
"EM046";"AOM009Jul";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;
"EM047";"AOM009Jul";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;
"EM048";"AOM009Jul";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/8/16 0:00:00;
"EM049";"E1M017Jul";"Aedes";"communis";"F";2;"E101";"KB25, closet 123";"Empty";"Isra";2012/9/4 0:00:00;"no legs, palps"
"EM050";"ALM019Jul";"Culex";"pipiens";"F";1;"AL01";"KB25, closet 123";"Gravid";"Isra";2012/9/4 0:00:00;"no legs, 1 wing, few scales, dirty"
"EM051";"ALM019Jul";"Culex";"pipiens";"F";1;"AL01";"KB25, closet 123";"Empty";"Isra";2012/9/4 0:00:00;"few scales, dirty"
"EM052";"ALM019Jul";"Culex";"pipiens";"F";1;"AL01";"KB25, closet 123";"Gravid";"Isra";2012/9/4 0:00:00;"few scales, dirty"
"EM053";"ALM019Jul";"Culex";"pipiens";"F";1;"AL01";"KB25, closet 123";"No abdomen";"Isra";2012/9/4 0:00:00;"no legs, no abdomen, few scales, dirty"
"EM054";"ALM019Jul";"Culex";"pipiens/torrentium?";"F";1;"AL01";"KB25, closet 123";"Gravid";"Isra";2012/9/4 0:00:00;"no legs, no scales, dirty"
"EM055";"ALM019Jul";"Culex";"pipiens";"F";1;"AL01";"KB25, closet 123";"No abdomen";"Isra";2012/9/4 0:00:00;"no legs, no wings, no abdomen, few scales"
"EM056";"ALM019Jul";"Culex";"pipiens";"F";1;"AL01";"KB25, closet 123";"Gravid";"Isra";2012/9/4 0:00:00;"no legs, no wings, no abdomen, few scales"
"EM058";"E7M008Jul";"Culiseta";"annulata";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, no wings"
"EM059";"E7M008Jul";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, few scales"
"EM060";"E7M008Jul";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM061";"E7M008Jul";"Culex";"torrentium";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"few scales"
"EM062";"E7M008Jul";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"few scales"
"EM063";"E7M008Jul";"Culex";"pipiens/torrentium?";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"very few scales"
"EM064";"E7M008Jul";"Culex";"pipiens/torrentium?";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM065";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM066";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM067";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM068";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"1 leg"
"EM069";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM070";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM071";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM072";"VPM004Aug";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, 1 prealar scale"
"EM073";"VPM004Aug";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, 1 prealar scale"
"EM074";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"few scales"
"EM075";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM076";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"1 leg"
"EM077";"VPM004Aug";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, 1 prealar scale"
"EM078";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM079";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM080";"VPM004Aug";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, 1 prealar scale??"
"EM081";"VPM004Aug";"Culex";"torrentium";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM082";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM083";"VPM004Aug";"Culex";"torrentium";"F";1;"VP01";"KB25, closet 123";"No abdomen";"Isra";2012/9/5 0:00:00;"few scales, no legs, no abdomen"
"EM084";"VPM004Aug";"Culex";"pipiens/torrentium?";"F";1;"VP01";"KB25, closet 123";"No abdomen";"Isra";2012/9/5 0:00:00;"very few scales, no legs, no abdomen"
"EM085";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM086";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs, few scales"
"EM087";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"few legs"
"EM088";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM089";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM090";"VPM004Aug";"Culex";"pipiens";"F";1;"VP01";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no legs"
"EM091";"ALM019Aug";"Culex";"pipiens/torrentium?";"F";1;"AL01";"KB25, closet 123";"Gravid";"Isra";2012/9/5 0:00:00;"1 leg, very few scales"
"EM092";"ALM019Aug";"Culex";"pipiens/torrentium?";"F";1;"AL01";"KB25, closet 123";"Gravid";"Isra";2012/9/5 0:00:00;"1 prealar scale"
"EM093";"E2M015Aug";"Culex";"pipiens/torrentium?";"F";1;"E201";"KB25, closet 123";"No abdomen";"Isra";2012/9/5 0:00:00;"no legs, wings, abdomen, antenna, proboscis, palps, few scales"
"EM094";"E2M015Aug";"Culex";"pipiens";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;
"EM095";"E2M015Aug";"Culex";"pipiens/torrentium?";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"1 prealar scale"
"EM096";"E2M015Aug";"Culex";"pipiens/torrentium?";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"no scales, no legs"
"EM097";"E2M015Aug";"Culex";"pipiens";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"few scales, no legs"
"EM098";"E2M015Aug";"Culex";"torrentium";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"nectar in abdomen"
"EM099";"E2M015Aug";"Culex";"pipiens/torrentium?";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/5 0:00:00;"nectar in abdomen, few scales, no legs, 1 prealar scale"
"EM100";"E2M015Aug";"Culex";"pipiens/torrentium?";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"few scales, no legs, 1 prealar scale, no wings, no head"
"EM101";"E2M015Aug";"Culex";"pipiens";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs"
"EM102";"E2M015Aug";"Aedes";"geniculatus";"F";1;"E201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM103";"M2M002Au2";"Anopheles";"maculipennis/messae?";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"nectar in abdomen, few legs, no scales"
"EM104";"M2M002Au2";"Aedes";"koreicus";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs"
"EM105";"M2M002Au2";"Coquillettidia";"richiardii";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs"
"EM106";"M2M002Au2";"Coquillettidia";"richiardii";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM107";"M2M002Au2";"Coquillettidia";"richiardii";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM108";"M2M002Au2";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs"
"EM109";"M2M002Au2";"Culex";"torrentium";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM110";"M2M002Au2";"Culex";"pipiens/torrentium?";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs, no scales"
"EM111";"M2M002Au2";"Coquillettidia";"richiardii";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM112";"M2M002Au2";"Aedes";"cinereus/geminus";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs"
"EM113";"M2M002Au2";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM114";"M2M002Au2";"Culex";"pipiens/torrentium?";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM115";"M2M002Au2";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"no legs"
"EM116";"M2M002Au2";"Aedes";"cinereus/geminus";"F";5;"M201";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"few legs"
"EM117";"ATM013Aug";"Culex";"pipiens";"M";1;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;
"EM118";"ATM013Aug";"Culex";"pipiens/torrentium?";"M";1;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;"1 prealar scale"
"EM119";"ATM013Aug";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM120";"ATM013Aug";"Culex";"pipiens";"M";1;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;
"EM121";"ATM013Aug";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"few legs"
"EM122";"ATM013Aug";"Culex";"pipiens/torrentium?";"M";1;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;"prealar scales?"
"EM123";"ATM013Aug";"Culex";"torrentium";"M";1;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;"prealar scales"
"EM124";"ATM013Aug";"Culex";"pipiens";"M";1;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;
"EM125";"ATM013Aug";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM126";"ATM013Aug";"Culex";"torrentium";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;"2 prealar scales"
"EM127";"ATM013Aug";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM128";"ATM013Aug";"Anopheles";"plumbeus";"F";14;"AT01";"KB25, closet 123";"Empty";"Isra";2012/9/6 0:00:00;
"EM129";"ATM013Aug";"Anopheles";"plumbeus";"F";2;"AT01";"KB25, closet 123";"Gravid";"Isra";2012/9/6 0:00:00;
"EM130";"ATM013Aug";"Anopheles";"plumbeus";"M";7;"AT01";"KB25, closet 123";"Male";"Isra";2012/9/6 0:00:00;
"EM131";"M1M003W33";"Culex";"pipiens/torrentium?";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/14 0:00:00;"very sticky, no scales, hairs, legs"
"EM132";"M1M003W33";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/14 0:00:00;
"EM133";"M1M003W33";"Anopheles";"maculipennis/messae?";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/14 0:00:00;
"EM134";"M1M003W32";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"No abdomen";"Isra";2012/9/18 0:00:00;"no abdomen, legs, proboscis, few scales"
"EM135";"M1M003W32";"Culex";"pipiens/torrentium?";"F";1;"M101";"KB25, closet 123";"Gravid";"Isra";2012/9/18 0:00:00;"1 prealar scale"
"EM136";"M1M003W32";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Gravid";"Isra";2012/9/18 0:00:00;
"EM137";"M1M003W32";"Aedes";"geniculatus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM138";"M1M003W32";"Aedes";"punctor";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM139";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"no legs, head, part of abdomen or wings, 1 prealar scale"
"EM140";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"1 prealar scale"
"EM141";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"1 prealar scale?"
"EM142";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM143";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"no legs, flat, difficult to see prealar scales"
"EM144";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"no legs, very few scales"
"EM145";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"1 prealar scale"
"EM146";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"1 prealar scale"
"EM147";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM148";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM149";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM150";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM151";"AOM009Aug";"Culex";"pipiens/torrentium?";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"very few scales"
"EM152";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"no legs"
"EM153";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM154";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM155";"AOM009Aug";"Culex";"pipiens";"F";1;"AO01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;
"EM156";"TRM021Aug";"Anopheles";"plumbeus";"F";46;"TR01";"KB25, closet 123";"Empty";"Isra";2012/9/18 0:00:00;"few legs & antennae, also ID on 25/9"
"EM157";"TRM021Aug";"Anopheles";"plumbeus";"F";1;"TR01";"KB25, closet 123";"Gravid";"Isra";2012/9/25 0:00:00;
"EM158";"M1M003W37";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/21 0:00:00;"nectar in abdomen"
"EM159";"M1M003W37";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/21 0:00:00;"nectar in abdomen, few scales"
"EM160";"TRM021Aug";"Anopheles";"plumbeus";"M";1;"TR01";"KB25, closet 123";"Male";"Isra";2012/9/25 0:00:00;
"EM161";"TRM021Aug";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"nectar in abdomen"
"EM162";"TRM021Aug";"Culex";"pipiens/torrentium?";"F";1;"TR01";"KB25, closet 123";"No abdomen";"Isra";2012/9/25 0:00:00;"no abdomen, very dirty, no scales"
"EM163";"TRM021Aug";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"no legs"
"EM164";"TRM021Aug";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"nectar in abdomen"
"EM165";"TRM021Aug";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM166";"TRM021Aug";"Aedes";"geniculatus";"M";1;"TR01";"KB25, closet 123";"Male";"Isra";2012/9/25 0:00:00;"few legs"
"EM167";"TRM021Aug";"Aedes";"geniculatus";"F";2;"TR01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"few legs"
"EM168";"M1M003W30";"Culex";"torrentium";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM169";"M1M003W30";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Gravid";"Isra";2012/9/25 0:00:00;
"EM170";"M1M003W30";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM171";"M1M003W30";"Coquillettidia";"richiardii";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"no legs"
"EM172";"M1M003W30";"Culex";"pipiens";"M";1;"M101";"KB25, closet 123";"Male";"Isra";2012/9/25 0:00:00;"no legs, wings"
"EM173";"M1M003W30";"Anopheles";"maculipennis/messae?";"M";2;"M101";"KB25, closet 123";"Male";"Isra";2012/9/25 0:00:00;"no legs"
"EM174";"M1M003W30";"Aedes";"cinereus/geminus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"few legs"
"EM175";"M1M003W30";"Aedes";"geniculatus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"no legs, proboscis, palps, antennae, few scales"
"EM176";"M1M003W34";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM177";"M1M003W34";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM178";"M1M003W34";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM179";"M1M003W34";"Culex";"pipiens/torrentium?";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"nectar in abdomen"
"EM180";"M1M003W34";"Aedes";"koreicus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"few tarsi"
"EM181";"M1M003W34";"Aedes";"koreicus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"few legs"
"EM182";"M1M003W34";"Aedes";"koreicus";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"no legs"
