"Site Code";"Site Name";"Address";"Municipality";"ZIP Code";"Longitude";"Latitutde";"Contact person";"Email";"Telephone";"Fax";"Website";"Comments";"Land Cover Level 1";"Land Cover Level 2";"Land Cover Level 3"
"EB";"Shelter Eurobonsai";"Hoekskensstraat 105a";"Lochristi";"9080";3,83;51,11;;"info@eurobonsai.be#..\Points of entry\IRA ECDC.xls#Sheet2!J14";"09 356 80 28";"09 356 96 11";"http://www.eurobonsai.be/#..\Points of entry\IRA ECDC.xls#Sheet2!K14";;;;
"EC";"Shelter European Centre of Fruit and Vegetables";"Werkhuizenkaai 112";"Brussel";"1000";4,37;50,87;"Thierry Nuttin";"info@cefl-ecfg.be#mailto:info@cefl-ecfg.be#";"02 24 60 21";;"#http://www.cefl-ecfg.be/#";;;;
"EP";"Shelter Exotic Plants BVBA";"Vlamingstraat, 1";"Wevelgem";"8560";3,21;50,81;"Johan Vandenbroecke";"flcenter@skynet.be#mailto:flcenter@skynet.be#";"056-41 27 29";"056-41 78 63";;;;;
"EV";"Shelter Euroveiling";"Oorlogskruisenlaan 1";"Brussel";"1120";5,25;50,58;"Wim Debeer";"debeer.wim@euroveiling.be#mailto:debeer.wim@euroveiling.be#";"02 244 90 38";;"#http://www.euroveiling.be/#";"Flowers from Israel";;;
"M1";"Forest next to industrial area 'Op de Berg'";"Steenweg naar As";"Maasmechelen";"3630";5,61;50,99;"joseph gorissen";"joseph.gorissen@lne.vlaanderen.be#..\Points of entry\IRA ECDC.xls#Sheet1!L42";"0479 79 93 63";;;"ANB Limburg, Nationaal Park Hoge Kempen";;;
"M2";"Forest next to sand quarry";"Steenweg naar As";"Maasmechelen";"3630";5,61;50,99;" joseph gorissen";" joseph.gorissen@lne.vlaanderen.be#..\Points of entry\IRA ECDC.xls#Sheet1!L42";"0479 79 93 63";;;"ANB Limburg";;;
"N1";"Tyres Havelange";"Rue de Lenny 103";"Hamois";"5360";5,04;50,33;"Robert Havelange";"info@havelange.com#mailto:info@havelange.com#";"083 21 10 59";"083 21 43 83";"http://www.havelange.com/#..\Points of entry\IRA ECDC.xls#Sheet2!K10";"Natoye";;;
"N2";"Tyres Sarri Pneus";"Chaussée de Namur 7";"Hamois";"5360";5,07;50,33;"Ludwig Van Assche";"sarripneus@skynet.be#mailto:sarripneus@skynet.be#";"083 21 29 68";"083 21 62 47";"#http://sarri.members.eurotyre.be/fr/home#";"Natoye";;;
"PE";"Shelter Petrivo";"Mussepi 25";"Sint-Katelijne-Waver";"2860";4,50;51,05;;"tropic@petrivo.com#..\Points of entry\IRA ECDC.xls#Sheet2!J16";"015 55 26 81";"015 55 28 51";"http://www.petrivo.com/n/bedrijf.htm#..\Points of entry\IRA ECDC.xls#Sheet2!K16";;;;
"PG";"Port Gent Honda Europe";"Langerbruggestraat 104";"Gent";"9000";3,75;51,10;"Liesbeth Vande Velde";"Liesbeth.Vande.Velde@honda-eu.com#..\Points of entry\IRA ECDC.xls#Sheet2!J5";"09 250 15 40";;"http://www.hondaeurope.be/nl/index.htm";;;;
"TR";"Tyres  Trains de Roue";"Rue Balasse 132";"La Louviere";"7110";4,14;50,47;"Anton Bernaert";"antonbernaert@gmail.com#mailto:antonbernaert@gmail.com#";"0475258545";;;;;;
"VP";"Tyres Vise Pneu SA";"Rue de Waremme 128";"Villers Le Bouillet";"4530";5,25;50,58;;"visepneuvillers@vppneus.com#..\Points of entry\IRA ECDC.xls#Sheet2!J11";"085 270 530";;;;;;
