species;year
Aedes cantans;2010
Anopheles claviger;2010
Aedes koreicus;2010
Aedes geniculatus;2010
Culiseta morsitans;2010
Aedes cinereus;2010
Aedes cantans;2010
Anopheles plumbeus;2010
Coquillettidia richiardii;2010
Aedes cinereus;2010
Culex pipiens;2010
Aedes dorsalis;2010
Anopheles maculipennis;2010
Aedes cinereus;2010
Anopheles plumbeus;2010
Coquillettidia richiardii;2010
Aedes geniculatus;2010
Culiseta annulata;2009
Culex pipiens;2010
;2010
Anopheles claviger;2010
Culiseta annulata;2010
Culex pipiens;2009
Aedes cinereus;2010
Aedes cantans;2010
Culex pipiens;2010
Anopheles plumbeus;2010
Aedes cantans;2010
Culex pipiens;2009
Culex pipiens;2010
Coquillettidia richiardii;2010
Aedes geniculatus;2010
Culex pipiens;2010
Culex pipiens;2010
Culiseta fumipennis;2010
Anopheles maculipennis;2009
Aedes punctor;2010
Culex pipiens;2009
Aedes geniculatus;2010
Aedes cantans;2010
;2010
Aedes cantans;2010
Culex pipiens;2010
Culex pipiens;2009
Culiseta annulata;2010
Culex pipiens;2010
Culex pipiens;2010
Culex pipiens;2009
Culex pipiens;2009
;2008
Culex pipiens;2010
Culex pipiens;2008
;2010
Aedes cantans;2008
Anopheles claviger;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex torrentium;2009
Coquillettidia richiardii;2010
Culex pipiens;2010
Culiseta annulata;2009
Culex pipiens;2009
Culiseta annulata;2010
Culex pipiens;2009
Culex pipiens;2009
Coquillettidia richiardii;2010
Anopheles claviger;2009
Aedes cantans;2010
Culex pipiens;2009
Anopheles plumbeus;2010
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Aedes cinereus;2008
Aedes geniculatus;2010
Culex pipiens;2009
Culex pipiens;2009
Culiseta annulata;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Anopheles claviger;2009
Culiseta annulata;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2008
Culex pipiens;2009
Culex pipiens;2009
Anopheles claviger;2009
Anopheles claviger;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2010
Anopheles plumbeus;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Aedes geniculatus;2009
Culex pipiens;2009
Culex pipiens;2009
Anopheles claviger;2009
Culiseta annulata;2009
Culex pipiens;2009
Culex pipiens;2009
Aedes geniculatus;2009
Culex pipiens;2009
Aedes geniculatus;2009
Culex pipiens;2009
Culex pipiens;2009
Anopheles claviger;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2010
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culiseta annulata;2009
Culex torrentium;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex torrentium;2009
Culex pipiens;2009
Aedes geniculatus;2009
Aedes geniculatus;2009
Anopheles claviger;2009
Anopheles claviger;2009
Culex pipiens;2009
Culex pipiens;2009
Culex torrentium;2009
Aedes cantans;2009
Culex pipiens;2009
Culex torrentium;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Aedes japonicus;2009
Culex pipiens;2009
Anopheles maculipennis;2009
Culex pipiens;2009
Culex torrentium;2009
Culex pipiens;2009
Anopheles plumbeus;2009
Culiseta morsitans;2007
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Anopheles claviger;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2008
Culex pipiens;2009
Aedes caspius;2009
Culex pipiens;2008
Culex torrentium;2009
Culex pipiens;2009
Aedes cinereus;2008
Culex pipiens;2009
Aedes punctor;2008
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2009
Culiseta annulata;2008
Culex pipiens;2009
Anopheles claviger;2007
Culex pipiens;2008
Anopheles plumbeus;2007
Culiseta annulata;2009
Culex pipiens;2009
Aedes caspius;2008
Culex pipiens;2009
Culex pipiens;2009
Culex pipiens;2007
Culex pipiens;2008
Aedes punctor;2007
Aedes cinereus;2007
Culiseta annulata;2009
Culex pipiens;2007
Culex pipiens;2007
Aedes vexans;2008
Aedes geniculatus;2008
Aedes cantans;2008
Culex pipiens;2007
Anopheles plumbeus;2008
Aedes cinereus;2008
Anopheles claviger;2008
Anopheles claviger;2008
Anopheles maculipennis;2008
Aedes cantans;2007
Aedes vexans;2008
Culex pipiens;2008
Coquillettidia richiardii;2007
Aedes vexans;2008
Culex pipiens;2007
Culex pipiens;2008
Aedes sticticus;2008
Aedes communis;2008
Culex pipiens;2008
;2009
Aedes caspius;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Anopheles claviger;2008
Aedes cantans;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Aedes geniculatus;2008
Aedes cinereus;2008
Culiseta annulata;2008
Anopheles maculipennis;2008
Aedes annulipes;2008
Aedes vexans;2008
Aedes cinereus;2008
Coquillettidia richiardii;2008
Coquillettidia richiardii;2008
Aedes cinereus;2008
Culiseta annulata;2008
;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2009
Culiseta annulata;2008
Culiseta morsitans;2008
Culex pipiens;2008
Aedes communis;2008
Aedes vexans;2008
Aedes annulipes;2008
Aedes cinereus;2008
Aedes punctor;2008
Aedes cinereus;2008
Aedes cinereus;2008
Culex pipiens;2008
Aedes caspius;2008
Culiseta morsitans;2008
Aedes cantans;2008
Aedes sticticus;2008
Aedes detritus;2008
Aedes communis;2008
Aedes cinereus;2008
Aedes vexans;2008
Aedes punctor;2008
Aedes communis;2008
Aedes vexans;2008
Coquillettidia richiardii;2008
Coquillettidia richiardii;2008
Anopheles claviger;2008
Aedes annulipes;2008
Coquillettidia richiardii;2008
;2007
Coquillettidia richiardii;2008
Culiseta annulata;2008
Aedes cantans;2008
Anopheles claviger;2008
Culex pipiens;2008
Culiseta morsitans;2008
Culiseta annulata;2008
Culiseta annulata;2008
Culiseta morsitans;2008
Culex pipiens;2008
Aedes vexans;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes cantans;2008
Aedes sticticus;2008
Aedes communis;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Aedes vexans;2008
Culiseta annulata;2008
Anopheles maculipennis;2008
Aedes sticticus;2008
Culex pipiens;2008
;2008
Aedes sticticus;2008
Culex pipiens;2008
Aedes sticticus;2008
Coquillettidia richiardii;2008
Aedes annulipes;2008
Aedes cinereus;2008
Culiseta annulata;2008
Aedes communis;2008
Aedes cantans;2008
Culiseta morsitans;2008
Aedes communis;2008
Aedes sticticus;2008
Culiseta morsitans;2008
Anopheles maculipennis;2008
Anopheles maculipennis;2008
Aedes cinereus;2008
Aedes punctor;2008
Aedes cantans;2008
Aedes sticticus;2008
Aedes cantans;2008
Aedes cinereus;2008
Culiseta annulata;2008
Anopheles plumbeus;2008
Aedes cinereus;2008
Anopheles plumbeus;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culiseta morsitans;2008
Aedes cantans;2008
Culex pipiens;2008
Aedes vexans;2008
Aedes cinereus;2008
Aedes punctor;2008
Anopheles maculipennis;2008
Aedes punctor;2008
Aedes punctor;2008
;2008
Aedes sticticus;2008
Aedes sticticus;2008
Aedes communis;2008
Aedes vexans;2008
Aedes sticticus;2008
Aedes geniculatus;2008
Aedes cantans;2008
Anopheles plumbeus;2008
Aedes cinereus;2008
Aedes punctor;2008
Culex pipiens;2008
Culex territans;2008
Aedes rusticus;2008
Aedes cantans;2008
Culiseta annulata;2008
Anopheles plumbeus;2008
Aedes geniculatus;2008
Anopheles claviger;2008
Aedes rusticus;2008
Culiseta annulata;2008
Anopheles claviger;2008
Aedes vexans;2008
Anopheles claviger;2008
Anopheles plumbeus;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Aedes sticticus;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes geniculatus;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes rusticus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cantans;2008
Aedes punctor;2008
Aedes cantans;2008
Aedes rusticus;2008
Culiseta annulata;2008
Culex pipiens;2008
Aedes geniculatus;2008
Aedes communis;2008
Aedes cinereus;2008
Aedes caspius;2008
Coquillettidia richiardii;2008
Anopheles claviger;2008
Aedes cantans;2008
Culiseta annulata;2008
Aedes communis;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cantans;2008
Aedes communis;2008
Aedes cinereus;2008
Culiseta annulata;2008
Culiseta annulata;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes vexans;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Culex pipiens;2007
Culex pipiens;2008
Culex pipiens;2008
Aedes caspius;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Aedes cantans;2008
Aedes communis;2008
Culex pipiens;2008
Culex torrentium;2007
Culex pipiens;2008
Culex pipiens;2007
Culex pipiens;2008
Aedes cantans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Aedes cantans;2008
Anopheles claviger;2008
Culiseta morsitans;2008
Culex pipiens;2008
Anopheles claviger;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes vexans;2008
Culiseta annulata;2007
Anopheles claviger;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Anopheles claviger;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2007
Culiseta annulata;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex torrentium;2008
Culex pipiens;2008
Anopheles claviger;2008
Anopheles claviger;2008
Culiseta annulata;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
;2008
Aedes cantans;2008
Culiseta annulata;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes cantans;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes cantans;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes geniculatus;2008
Culex pipiens;2008
Aedes geniculatus;2008
Culex pipiens;2008
Aedes cantans;2008
Anopheles maculipennis;2007
Anopheles claviger;2008
;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes punctor;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2007
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2007
Culex pipiens;2008
Anopheles plumbeus;
Culiseta annulata;2008
Aedes rusticus;
Anopheles plumbeus;2008
;2008
Culex pipiens;2008
Aedes punctor;2008
Culex pipiens;2007
Anopheles plumbeus;2008
Anopheles plumbeus;2008
Coquillettidia richiardii;2007
Culex pipiens;
Anopheles maculipennis;2008
Anopheles claviger;2007
Anopheles claviger;2007
Culiseta annulata;
Culex torrentium;2007
;2008
;2008
Aedes detritus;
Aedes punctor;2008
Aedes rusticus;2008
Culex pipiens;2008
Aedes communis;2007
Anopheles plumbeus;2007
Aedes cinereus;2008
Aedes geniculatus;2008
;2008
Culiseta morsitans;2008
;2008
Culex pipiens;
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Aedes cinereus;2008
Anopheles maculipennis;2008
Aedes rusticus;2008
Aedes communis;2008
Culex pipiens;2008
Aedes cantans;2008
Culex territans;2008
;2008
Culiseta annulata;2008
Aedes caspius;2007
Anopheles plumbeus;2007
;2007
Aedes cantans;2008
Aedes cinereus;
Culex pipiens;2007
;2008
;2008
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2008
Anopheles claviger;2008
Aedes geniculatus;2008
Aedes punctor;2007
Culex pipiens;2008
Aedes punctor;2008
;2007
Anopheles claviger;2008
Anopheles plumbeus;2008
Anopheles claviger;
Culex pipiens;2007
Culex pipiens;2008
Anopheles claviger;2008
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Anopheles maculipennis;2007
Culiseta annulata;2007
Aedes cinereus;2008
Culex pipiens;2008
Aedes communis;2008
Anopheles maculipennis;2008
Anopheles claviger;2007
Aedes cantans;2008
Coquillettidia richiardii;2007
Coquillettidia richiardii;2007
Culex pipiens;2008
Coquillettidia richiardii;2007
Culex pipiens;2008
;2008
;2007
Anopheles plumbeus;2007
Coquillettidia richiardii;2007
Aedes punctor;2008
;2008
;2008
Culex pipiens;2007
Anopheles maculipennis;2008
Aedes rusticus;2008
Culex pipiens;2008
Culex pipiens;2007
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes communis;2008
Anopheles maculipennis;2008
Anopheles maculipennis;2008
Anopheles maculipennis;2007
Culex pipiens;2007
Culiseta morsitans;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes geniculatus;2007
Anopheles claviger;2007
Aedes rusticus;2008
Culex pipiens;2008
Anopheles maculipennis;2007
Culiseta annulata;2007
Anopheles claviger;2008
Anopheles plumbeus;2007
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2007
Anopheles maculipennis;2007
Culex pipiens;2007
Aedes rusticus;2008
Anopheles maculipennis;2008
Culiseta annulata;2008
Culex pipiens;2007
Aedes cantans;2008
Culex pipiens;2008
;2008
Aedes geniculatus;2008
Culiseta annulata;2007
Culex pipiens;2008
Culiseta morsitans;2008
Culex pipiens;2007
Culex pipiens;2007
Anopheles maculipennis;2008
Anopheles maculipennis;2007
Culex pipiens;2008
Aedes communis;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes punctor;2008
Aedes cinereus;2008
Anopheles plumbeus;2007
Anopheles plumbeus;2008
Culex pipiens;2008
;2008
Aedes cantans;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Anopheles claviger;2008
Anopheles maculipennis;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2007
Aedes communis;2008
Aedes cinereus;2007
Aedes punctor;2008
Culex pipiens;2007
Culex pipiens;2008
Aedes cantans;2008
Aedes vexans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Anopheles claviger;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes vexans;2008
Anopheles plumbeus;2008
Aedes annulipes;2008
Aedes cinereus;2008
Aedes cinereus;2008
Culiseta annulata;2008
Coquillettidia richiardii;2008
Culiseta morsitans;2008
Culex pipiens;2008
Culiseta morsitans;2008
Aedes geniculatus;2007
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culiseta annulata;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cantans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Anopheles claviger;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culiseta annulata;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes cinereus;2008
Coquillettidia richiardii;2008
Culex pipiens;2008
Culex territans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex territans;2008
Anopheles plumbeus;2008
Culex torrentium;2008
Culex pipiens;2008
Aedes rusticus;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes caspius;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cantans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes rusticus;2008
Anopheles claviger;2008
Aedes caspius;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Coquillettidia richiardii;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta morsitans;2008
Anopheles claviger;2008
Anopheles maculipennis;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Anopheles plumbeus;2008
Culiseta annulata;2008
Culex torrentium;2008
Coquillettidia richiardii;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Culex torrentium;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Anopheles claviger;2008
Aedes communis;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Anopheles maculipennis;2008
Culex pipiens;2008
Aedes detritus;2008
Culex pipiens;2008
Culiseta morsitans;2008
Culiseta morsitans;2008
Culiseta annulata;2008
Anopheles claviger;2008
Aedes cinereus;2008
Culex pipiens;2008
Aedes cantans;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Aedes punctor;2008
Culex pipiens;2008
Aedes rusticus;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes punctor;2008
Culex pipiens;2008
Aedes cantans;2008
Culex pipiens;2008
Aedes rusticus;2008
Aedes cinereus;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Aedes geniculatus;2008
Aedes cinereus;2008
Culiseta annulata;2008
Aedes sticticus;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex territans;2008
Aedes communis;2008
Aedes cinereus;2008
Culex torrentium;2008
Culex pipiens;2008
Aedes cantans;2008
Culiseta annulata;2008
Culex pipiens;2008
Culiseta morsitans;2008
Aedes vexans;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Anopheles maculipennis;2008
Culiseta annulata;2008
Aedes cinereus;2008
Aedes communis;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex territans;2008
Culex territans;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex torrentium;2008
Culex torrentium;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Culex torrentium;2008
Culiseta annulata;2008
Culex pipiens;2008
Aedes communis;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Aedes cantans;2008
Anopheles maculipennis;2008
Aedes cinereus;2008
Culex torrentium;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Aedes vexans;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex torrentium;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Culex pipiens;2008
Culex pipiens;2008
Culex torrentium;2008
Anopheles maculipennis;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes geniculatus;2008
Anopheles claviger;2008
Anopheles claviger;2008
Coquillettidia richiardii;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Aedes cinereus;2008
Aedes cinereus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Aedes vexans;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes punctor;2008
Culex pipiens;2008
Culiseta morsitans;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Culiseta annulata;2008
Culex pipiens;2008
Aedes caspius;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Culiseta annulata;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes geniculatus;2008
Aedes vexans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Aedes cinereus;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex torrentium;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes cantans;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta morsitans;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes rusticus;2008
Culex torrentium;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes rusticus;2008
Culex pipiens;2008
Culex pipiens;2008
