"Sampling Code";"Subsite Code";"Site Code";"Trap Code";"Start Date";"End Date";"Presence of Aedes eggs";"Max temp (°C)";"Min temp (°C)";"Humidity (%)";"Comments"
"ALO112Au1";"NA";"AL";"O112";2012/7/31 0:00:00;2012/8/16 0:00:00;0;;;;
"ALO112Au2";"NA";"AL";"O112";2012/8/16 0:00:00;2012/9/12 0:00:00;0;;;;
"ALO112Sep";"NA";"AL";"O112";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
"ALO113Au1";"NA";"AL";"O113";2012/7/31 0:00:00;2012/8/16 0:00:00;0;;;;
"ALO113Au2";"NA";"AL";"O113";2012/8/16 0:00:00;2012/9/12 0:00:00;0;;;;
"ALO113Sep";"NA";"AL";"O113";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
"AOO072Aug";"NA";"AO";"O072";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"AOO072Jul";"NA";"AO";"O072";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"AOO072Sep";"NA";"AO";"O072";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"AOO073Aug";"NA";"AO";"O073";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"AOO073Jul";"NA";"AO";"O073";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"AOO073Sep";"NA";"AO";"O073";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"AOO074Aug";"NA";"AO";"O074";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"AOO074Jul";"NA";"AO";"O074";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"AOO074Sep";"NA";"AO";"O074";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"ATO084Aug";"NA";"AT";"O084";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"ATO084Jul";"NA";"AT";"O084";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"ATO084Sep";"NA";"AT";"O084";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"ATO085Aug";"NA";"AT";"O085";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"ATO085Jul";"NA";"AT";"O085";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"ATO085Sep";"NA";"AT";"O085";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"ATO086Aug";"NA";"AT";"O086";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"ATO086Jul";"NA";"AT";"O086";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;"polystyrene gone"
"ATO086Sep";"NA";"AT";"O086";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"AZO117Au1";"NA";"AZ";"O117";2012/8/2 0:00:00;2012/8/14 0:00:00;0;;;;
"AZO117Au2";"NA";"AZ";"O117";2012/8/14 0:00:00;2012/8/29 0:00:00;0;;;;"polystyrene gone"
"AZO117Se1";"NA";"AZ";"O117";2012/8/29 0:00:00;2012/9/11 0:00:00;0;;;;
"AZO117Se2";"NA";"AZ";"O117";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"AZO118Au1";"NA";"AZ";"O118";2012/8/2 0:00:00;2012/8/14 0:00:00;0;;;;
"AZO118Au2";"NA";"AZ";"O118";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"AZO118Sep";"NA";"AZ";"O118";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"AZO119Au1";"NA";"AZ";"O119";2012/8/2 0:00:00;2012/8/14 0:00:00;0;;;;
"AZO119Au2";"NA";"AZ";"O119";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"AZO119Sep";"NA";"AZ";"O119";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"DIO087Aug";"NA";"DI";"O087";2012/8/9 0:00:00;2012/9/5 0:00:00;0;;;;
"DIO087Jul";"NA";"DI";"O087";2012/7/18 0:00:00;2012/8/9 0:00:00;0;;;;
"DIO087Sep";"NA";"DI";"O087";2012/9/5 0:00:00;2012/10/11 0:00:00;0;;;;
"DIO088Aug";"NA";"DI";"O088";2012/8/9 0:00:00;2012/9/5 0:00:00;0;;;;"trap not found"
"DIO088Jul";"NA";"DI";"O088";2012/7/18 0:00:00;2012/8/9 0:00:00;0;;;;
"DIO088Sep";"NA";"DI";"O088";2012/9/5 0:00:00;2012/10/11 0:00:00;0;;;;"polystyrene not found"
"DIO089Aug";"NA";"DI";"O089";2012/8/9 0:00:00;2012/9/5 0:00:00;0;;;;
"DIO089Jul";"NA";"DI";"O089";2012/7/18 0:00:00;2012/8/9 0:00:00;0;;;;
"DIO089Sep";"NA";"DI";"O089";2012/9/5 0:00:00;2012/10/11 0:00:00;0;;;;
"E1O099Aug";"NA";"E1";"O099";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;
"E1O099Jul";"NA";"E1";"O099";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;
"E1O099Sep";"NA";"E1";"O099";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E1O100Aug";"NA";"E1";"O100";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;
"E1O100Jul";"NA";"E1";"O100";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;
"E1O100Sep";"NA";"E1";"O100";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E1O101Aug";"NA";"E1";"O101";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;
"E1O101Jul";"NA";"E1";"O101";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;
"E1O101Sep";"NA";"E1";"O101";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E2O096Aug";"NA";"E2";"O096";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;
"E2O096Jul";"NA";"E2";"O096";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;
"E2O096Sep";"NA";"E2";"O096";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E2O097Aug";"NA";"E2";"O097";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;"polystyrene not found"
"E2O097Jul";"NA";"E2";"O097";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;
"E2O097Sep";"NA";"E2";"O097";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E2O098Aug";"NA";"E2";"O098";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;"polystyrene next to trap"
"E2O098Jul";"NA";"E2";"O098";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;"polystyrene gone"
"E2O098Sep";"NA";"E2";"O098";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E3O102Aug";"NA";"E3";"O102";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;"polystyrene next to trap, eaten by bird"
"E3O102Jul";"NA";"E3";"O102";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;
"E3O102Sep";"NA";"E3";"O102";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E3O103Au1";"NA";"E3";"O103";2012/8/10 0:00:00;2012/8/17 0:00:00;0;;;;
"E3O103Au2";"NA";"E3";"O103";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;
"E3O103Jul";"NA";"E3";"O103";2012/7/19 0:00:00;2012/8/10 0:00:00;0;;;;"urinated in trap"
"E3O103Sep";"NA";"E3";"O103";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E3O104Aug";"NA";"E3";"O104";2012/8/17 0:00:00;2012/9/13 0:00:00;0;;;;
"E3O104Jul";"NA";"E3";"O104";2012/7/19 0:00:00;2012/8/17 0:00:00;0;;;;"urinated in trap"
"E3O104Sep";"NA";"E3";"O104";2012/9/13 0:00:00;2012/10/12 0:00:00;0;;;;
"E7O069Aug";"NA";"E7";"O069";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"E7O069Jul";"NA";"E7";"O069";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"E7O069Sep";"NA";"E7";"O069";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"E7O070Aug";"NA";"E7";"O070";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"E7O070Jul";"NA";"E7";"O070";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"E7O070Sep";"NA";"E7";"O070";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"E7O071Aug";"NA";"E7";"O071";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"E7O071Jul";"NA";"E7";"O071";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"E7O071Sep";"NA";"E7";"O071";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"EBO063Aug";"NA";"EB";"O063";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"EBO063Jul";"NA";"EB";"O063";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"EBO063Sep";"NA";"EB";"O063";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"EBO064Aug";"NA";"EB";"O064";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"EBO064Jul";"NA";"EB";"O064";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"EBO064Sep";"NA";"EB";"O064";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"EBO065Aug";"NA";"EB";"O065";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"EBO065Jul";"NA";"EB";"O065";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"EBO065Sep";"NA";"EB";"O065";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"ECO114Au1";"NA";"EC";"O114";2012/7/31 0:00:00;2012/8/14 0:00:00;0;;;;
"ECO114Au2";"NA";"EC";"O114";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;"polystyrene next to trap"
"ECO114Sep";"NA";"EC";"O114";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"ECO115Au1";"NA";"EC";"O115";2012/7/31 0:00:00;2012/8/14 0:00:00;0;;;;
"ECO115Au2";"NA";"EC";"O115";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"ECO115Sep";"NA";"EC";"O115";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;"polystyrene not found"
"ECO116Au1";"NA";"EC";"O116";2012/7/31 0:00:00;2012/8/14 0:00:00;0;;;;
"ECO116Au2";"NA";"EC";"O116";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;"polystyrene not found"
"ECO116Sep";"NA";"EC";"O116";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"EPO066Aug";"NA";"EP";"O066";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"EPO066Jul";"NA";"EP";"O066";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"EPO066Sep";"NA";"EP";"O066";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;"polystyrene not found"
"EPO067Aug";"NA";"EP";"O067";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"EPO067Jul";"NA";"EP";"O067";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"EPO067Sep";"NA";"EP";"O067";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"EPO068Aug";"NA";"EP";"O068";2012/8/13 0:00:00;2012/9/10 0:00:00;0;;;;
"EPO068Jul";"NA";"EP";"O068";2012/7/16 0:00:00;2012/8/13 0:00:00;0;;;;
"EPO068Sep";"NA";"EP";"O068";2012/9/10 0:00:00;2012/10/9 0:00:00;0;;;;
"EVO075Aug";"NA";"EV";"O075";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"EVO075Jul";"NA";"EV";"O075";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"EVO075Sep";"NA";"EV";"O075";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;"polystyrene not found"
"EVO076Aug";"NA";"EV";"O076";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"EVO076Jul";"NA";"EV";"O076";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;"trap not found, stolen?"
"EVO076Sep";"NA";"EV";"O076";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"EVO077Aug";"NA";"EV";"O077";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"EVO077Jul";"NA";"EV";"O077";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"EVO077Sep";"NA";"EV";"O077";2012/9/11 0:00:00;2012/10/10 0:00:00;0;;;;
"M2O036Aug";"M2001";"M2";"O036";2012/8/1 0:00:00;2012/8/23 0:00:00;1;;;;"Aedes geniculatus! (nr 11 checked by Francis)"
"M2O036Jul";"M2001";"M2";"O036";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O036Oct";"M2001";"M2";"O036";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene gone"
"M2O036Sep";"M2001";"M2";"O036";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"fell over, polystyrene next to trap"
"M2O037Aug";"M2001";"M2";"O037";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O037Jul";"M2001";"M2";"O037";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O037Oct";"M2001";"M2";"O037";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O037Sep";"M2001";"M2";"O037";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O038Aug";"M2002";"M2";"O038";2012/7/25 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap, eaten by bird"
"M2O038Jul";"M2002";"M2";"O038";2012/7/4 0:00:00;2012/7/25 0:00:00;0;;;;
"M2O038Oct";"M2002";"M2";"O038";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O038Sep";"M2002";"M2";"O038";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O039Aug";"M2002";"M2";"O039";2012/7/25 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O039Jul";"M2002";"M2";"O039";2012/7/4 0:00:00;2012/7/25 0:00:00;0;;;;
"M2O039Oct";"M2002";"M2";"O039";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O039Sep";"M2002";"M2";"O039";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O040Aug";"M2003";"M2";"O040";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O040Jul";"M2003";"M2";"O040";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O040Oct";"M2003";"M2";"O040";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O040Sep";"M2003";"M2";"O040";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O041Aug";"M2003";"M2";"O041";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap"
"M2O041Jul";"M2003";"M2";"O041";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O041Oct";"M2003";"M2";"O041";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O041Sep";"M2003";"M2";"O041";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O042Aug";"M2004";"M2";"O042";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"almost dry"
"M2O042Jul";"M2004";"M2";"O042";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O042Oct";"M2004";"M2";"O042";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O042Sep";"M2004";"M2";"O042";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap, eaten by bird"
"M2O043Aug";"M2004";"M2";"O043";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"fell over, dry"
"M2O043Jul";"M2004";"M2";"O043";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O043Oct";"M2004";"M2";"O043";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene gone"
"M2O043Sep";"M2004";"M2";"O043";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O044Aug";"M2005";"M2";"O044";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"totally dry"
"M2O044jul";"M2005";"M2";"O044";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O044Oct";"M2005";"M2";"O044";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O044Sep";"M2005";"M2";"O044";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O045Aug";"M2005";"M2";"O045";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"totally dry"
"M2O045Jul";"M2005";"M2";"O045";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O045Oct";"M2005";"M2";"O045";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O045Sep";"M2005";"M2";"O045";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O046Aug";"M2006";"M2";"O046";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O046Oct";"M2006";"M2";"O046";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O046Sep";"M2006";"M2";"O046";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O047Aug";"M2006";"M2";"O047";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O047Oct";"M2006";"M2";"O047";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O047Sep";"M2006";"M2";"O047";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O048Aug";"M2007";"M2";"O048";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O048Jul";"M2007";"M2";"O048";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O048Oct";"M2007";"M2";"O048";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O048Sep";"M2007";"M2";"O048";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O049Aug";"M2007";"M2";"O049";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O049Jul";"M2007";"M2";"O049";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O049Oct";"M2007";"M2";"O049";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O049Sep";"M2007";"M2";"O049";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O050Aug";"M2008";"M2";"O050";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O050Jul";"M2008";"M2";"O050";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;"polystyrene next to trap"
"M2O050Oct";"M2008";"M2";"O050";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O050Sep";"M2008";"M2";"O050";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O051Aug";"M2008";"M2";"O051";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap"
"M2O051Jul";"M2008";"M2";"O051";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O051Oct";"M2008";"M2";"O051";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O051Sep";"M2008";"M2";"O051";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;
"M2O052Aug";"M2009";"M2";"O052";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap, dry"
"M2O052Jul";"M2009";"M2";"O052";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;"polystyrene next to trap"
"M2O052Oct";"M2009";"M2";"O052";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O052Sep";"M2009";"M2";"O052";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"fell over, polystyrene next to trap"
"M2O053Aug";"M2009";"M2";"O053";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap, dry"
"M2O053Jul";"M2009";"M2";"O053";2012/7/4 0:00:00;2012/8/1 0:00:00;1;;;;"Aedes geniculatus! (nr 5 checked by Francis)"
"M2O053Oct";"M2009";"M2";"O053";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O053Sep";"M2009";"M2";"O053";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O054Aug";"M2010";"M2";"O054";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap, dry"
"M2O054Jul";"M2010";"M2";"O054";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O054Oct";"M2010";"M2";"O054";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O054Sep";"M2010";"M2";"O054";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"dry"
"M2O055Aug";"M2010";"M2";"O055";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"polystyrene next to trap, dry"
"M2O055Jul";"M2010";"M2";"O055";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;"polystyrene next to trap"
"M2O055Oct";"M2010";"M2";"O055";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;"polystyrene next to trap"
"M2O055Sep";"M2010";"M2";"O055";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O056Aug";"M2011";"M2";"O056";2012/8/1 0:00:00;2012/8/23 0:00:00;1;;;;"1 egg, Aedes geniculatus! (nr 10 checked by Francis)"
"M2O056Jul";"M2011";"M2";"O056";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O056Oct";"M2011";"M2";"O056";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O056Sep";"M2011";"M2";"O056";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap, eaten by bird"
"M2O057Aug";"M2011";"M2";"O057";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;
"M2O057Jul";"M2011";"M2";"O057";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O057Oct";"M2011";"M2";"O057";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O057Sep";"M2011";"M2";"O057";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"fell over, eaten by ?? (in pieces)"
"M2O058Aug";"M2012";"M2";"O058";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"almost dry"
"M2O058Jul";"M2012";"M2";"O058";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O058Oct";"M2012";"M2";"O058";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O058Sep";"M2012";"M2";"O058";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap, eaten by bird"
"M2O059Aug";"M2012";"M2";"O059";2012/8/1 0:00:00;2012/8/23 0:00:00;0;;;;"almost dry"
"M2O059Jul";"M2012";"M2";"O059";2012/7/4 0:00:00;2012/8/1 0:00:00;0;;;;
"M2O059Oct";"M2012";"M2";"O059";2012/9/19 0:00:00;2012/10/24 0:00:00;0;;;;
"M2O059Sep";"M2012";"M2";"O059";2012/8/23 0:00:00;2012/9/19 0:00:00;0;;;;"polystyrene next to trap"
"M2O090Aug";"M2001";"M2";"O090";2012/8/16 0:00:00;2012/9/12 0:00:00;0;;;;
"M2O090Jul";"M2001";"M2";"O090";2012/7/18 0:00:00;2012/8/16 0:00:00;1;;;;"Aedes geniculatus!  (nr 12 checked by Francis)"
"M2O090Sep";"M2001";"M2";"O090";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
"M2O091Aug";"M2001";"M2";"O091";2012/8/16 0:00:00;2012/9/12 0:00:00;0;;;;
"M2O091Jul";"M2001";"M2";"O091";2012/7/18 0:00:00;2012/8/16 0:00:00;0;;;;
"M2O091Sep";"M2001";"M2";"O091";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
"M2O092Aug";"M2001";"M2";"O092";2012/8/16 0:00:00;2012/9/12 0:00:00;0;;;;
