"Tube number";"Sampling Code";"Breeding Site Code";"Subsite Code";"Adult/Larva";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Identifier";"Date ID";"Comments"
"EL030";"M2L016Jul";"M2L016";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";33;"M2Jul";"KB25, closet 123";"Isra";2012/8/2 0:00:00;
"EL031";"M2L006Jul";"M2L006";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";39;"M2Jul";"KB25, closet 123";"Isra";2012/8/2 0:00:00;
"EL032";"DIL001Aug";"DIL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";58;"DI";"KB25, closet 123";"Isra";2012/8/2 0:00:00;
"EL033";"TRL001Au1";"TRL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";49;"TR";"KB25, closet 123";"Isra";2012/8/2 0:00:00;
"EL034";"N1L020Jul";"N1L020";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";2;"N1Jul";"KB25, on rack";"Isra";2012/7/31 0:00:00;
"EL035";"N1L004Au1";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";138;"N1Aug";"KB25, on rack";"Isra";2012/8/8 0:00:00;" also 9/8/12 ID"
"EL036";"N1L004Au1";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";2;"N1Aug";"KB25, on rack";"Isra";2012/8/10 0:00:00;
"EL037";"ATL001Au1";"ATL001";"NA";"Larva";"Aedes";"geniculatus";"NA";1;"AT";"KB25, closet 123";"Isra";2012/8/8 0:00:00;
"EL038";"ATL001Au1";"ATL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";5;"AT";"KB25, closet 123";"Isra";2012/8/8 0:00:00;
"EL039";"ATL001Au1";"ATL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";4;"AT";"KB25, closet 123";"Isra";2012/8/8 0:00:00;"1 broken"
"EL040";"M2L007Jul";"M2L007";"M2015";"Larva";"Culex";"pipiens/torrentium";"NA";11;"M2Jul";"KB25, closet 123";"Isra";2012/8/8 0:00:00;
"EL041";"N1L019Jul";"N1L019";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";24;"N1Jul";"KB25, on rack";"Isra";2012/8/8 0:00:00;"on plastic sheet"
"EL042";"M2L012Jul";"M2L012";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";34;"M2Jul";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL043";"TRL001Au1";"TRL001";"NA";"Larva";"Culiseta";"annulata";"NA";8;"TR";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL044";"TRL001Au1";"TRL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";1;"TR";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL045";"TRL002Au1";"TRL002";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";26;"TR";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL046";"TRL002Au1";"TRL002";"NA";"Larva";"Culex";"h. hortensis";"NA";1;"TR";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL047";"TRL002Au1";"TRL002";"NA";"Larva";"Anopheles";"plumbeus";"NA";33;"TR";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL048";"N1L010Ju2";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";7;"N1Jun";"KB25, on rack";"Isra";2012/8/9 0:00:00;"tyres next to stable"
"EL049";"N1L011Ju2";"N1L011";"N1006";"Larva";"Anopheles";"maculipennis/messae";"NA";14;"N1Jun";"KB25, on rack";"Isra";2012/8/9 0:00:00;
"EL050";"N1L001Ju2";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";2;"N1Jun";"KB25, on rack";"Isra";2012/8/9 0:00:00;
"EL051";"N1L016Jun";"N1L016";"N1020";"Adult";"Aedes";"geniculatus";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL052";"N1L016Jun";"N1L016";"N1020";"Larva";"Culex";"pipiens/torrentium";"NA";27;"N1Jun";"KB25, on rack";"Isra";2012/8/9 0:00:00;
"EL053";"N1L016Jun";"N1L016";"N1020";"Larva";"Culiseta";"annulata";"NA";3;"N1Jun";"KB25, on rack";"Isra";2012/8/9 0:00:00;
"EL054";"N1L004Ju1";"N1L004";"N1007";"Larva";"Aedes";"geniculatus";"NA";2;"N1Jun";"KB25, on rack";"Isra";2012/8/9 0:00:00;"tyres at the back"
"EL055";"N1L004Ju1";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";64;"N1Jun";"KB25, on rack";"Isra";2012/8/10 0:00:00;"tyres at the back, 1 pupa/mosquito & 7 pupae"
"EL056";"N1L015Jun";"N1L015";"N1019";"Larva";"Culex";"pipiens/torrentium";"NA";19;"N1Jun";"KB25, on rack";"Isra";2012/8/10 0:00:00;
"EL057";"N1L014Jun";"N1L014";"N1018";"Larva";"Culex";"pipiens/torrentium";"NA";18;"N1Jun";"KB25, on rack";"Isra";2012/8/10 0:00:00;"+ 1 pupa"
"EL058";"N1L001Ju2";"N1L001";"N1007";"Adult";"Culex";"torrentium";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/9 0:00:00;
"EL059";"N1L009Ju2";"N1L009";"N1005";"Adult";"Culex";"pipiens?";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/10 0:00:00;"rain water barrel, broken"
"EL060";"N1L009Ju2";"N1L009";"N1005";"Adult";"Culex";"torrentium";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/10 0:00:00;"rain water barrel"
"EL061";"N1L009Ju2";"N1L009";"N1005";"Adult";"Culex";"pipiens?";"M";1;"N101";"KB25, closet 123";"Isra";2012/8/10 0:00:00;"rain water barrel, broken"
"EL062";"N1L018Jun";"N1L018";"N1036";"Adult";"Culex";"torrentium";"M";1;"N101";"KB25, closet 123";"Isra";2012/8/10 0:00:00;
"EL063";"N1L018Jun";"N1L018";"N1036";"Adult";"Culex";"torrentium";"M";1;"N101";"KB25, closet 123";"Isra";2012/8/10 0:00:00;
"EL064";"N1L020Jul";"N1L020";"N1034";"Adult";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/13 0:00:00;
"EL065";"N1L020Jul";"N1L020";"N1034";"Adult";"Culex";"torrentium";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/13 0:00:00;
"EL066";"N1L020Jul";"N1L020";"N1034";"Adult";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/13 0:00:00;
"EL067";"N1L011May";"N1L011";"N1006";"Adult";"Aedes";"j. japonicus";"F";1;"N101";"KB25, closet 123";"Isra";2012/8/13 0:00:00;"broken"
"EL068";"N1L019Aug";"N1L019";"N1005";"Adult";"Culex";"pipiens";"M";1;"N101";"KB25, closet 123";"Isra";2012/9/5 0:00:00;"on plastic sheet"
"EL069";"N1L028Aug";"N1L028";"N1023";"Larva";"Culex";"pipiens/torrentium";"NA";37;"N1Aug";"KB25, on rack";"Isra";2012/9/7 0:00:00;"1 pupa"
"EL070";"N1L012Aug";"N1L012";"N1014";"Larva";"Culex";"pipiens/torrentium";"NA";13;"N1Aug";"KB25, on rack";"Isra";2012/9/7 0:00:00;"very small larvae"
"EL071";"N1L012Aug";"N1L012";"N1014";"Larva";"Aedes";"geniculatus??";"NA";6;"N1Aug";"KB25, on rack";"Isra";2012/9/7 0:00:00;"very small larvae"
"EL072";"N1L001Aug";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";41;"N1Aug";"KB25, on rack";"Isra";2012/9/11 0:00:00;"left, tyre 23"
"EL073";"N1L001Aug";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";5;"N1Aug";"KB25, on rack";"Isra";2012/9/11 0:00:00;"left, 2 tyres"
"EL074";"N1L001Aug";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";1;"N1Aug";"KB25, on rack";"Isra";2012/9/11 0:00:00;"left, 2 tyres"
"EL075";"N1L001Aug";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";25;"N1Aug";"KB25, on rack";"Isra";2012/9/11 0:00:00;"left, tyre 26, very small larvae"
"EL076";"N1L001Aug";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";36;"N1Aug";"KB25, on rack";"Isra";2012/9/11 0:00:00;"right, back"
"EL077";"N1L001Aug";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";2;"N1Aug";"KB25, on rack";"Isra";2012/9/11 0:00:00;"right, back"
"EL078";"N1L004Au2";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";18;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"in front"
"EL079";"N1L004Au2";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";17;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"in middle at the back"
"EL080";"N1L004Au2";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";2;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"in middle at the back"
"EL081";"N1L004Au2";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";25;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"end at the back, small larvae"
"EL082";"N1L004Au2";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";1;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"end at the back, small larvae"
"EL083";"N1L004Au2";"N1L004";"N1007";"Larva";"Aedes";"j. japonicus";"NA";1;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"end at the back, small larvae"
"EL084";"N1L004Au2";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";10;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"end at the back, small larvae"
"EL085";"N1L004Au2";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";76;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"end at the back"
"EL086";"N1L004Au2";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";2;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"end at the back"
"EL087";"TRL001Sep";"TRL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";39;"TR";"KB25, closet 123";"Isra";2012/8/12 0:00:00;
"EL088";"TRL001Sep";"TRL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";32;"TR";"KB25, closet 123";"Isra";2012/8/12 0:00:00;"1 pupa"
"EL089";"N1L009Aug";"N1L009";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";34;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"bucket"
"EL090";"N1L009Aug";"N1L009";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";19;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"rain water barrel, very small larvae"
"EL091";"N1L010Aug";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";85;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"tyres on silage, a lot of small larvae"
"EL092";"N1L019Aug";"N1L019";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";14;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"plastic sheet"
"EL093";"N1L018Aug";"N1L018";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";101;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"tyres"
"EL094";"N1L018Aug";"N1L018";"N1036";"Larva";"Culiseta";"annulata";"NA";9;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"tyres"
"EL095";"N1L027Aug";"N1L027";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";39;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"2 blue plastic containers"
"EL096";"N1L027Aug";"N1L027";"N1036";"Larva";"Culiseta";"annulata";"NA";3;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"2 blue plastic containers"
"EL097";"N1L020Aug";"N1L020";"N1034";"Larva";"Culex";"h. hortensis";"NA";6;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"+ 3 small larvae?"
"EL098";"N1L022Aug";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";17;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"in front"
"EL099";"N1L022Aug";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";43;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"on courtyard"
"EL100";"N1L023Aug";"N1L023";"N1039";"Larva";"Culex";"pipiens/torrentium";"NA";31;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;"a lot of small larvae"
"EL101";"N1L023Aug";"N1L023";"N1039";"Larva";"Culex";"h. hortensis";"NA";8;"N1Aug";"KB25, on rack";"Isra";2012/9/12 0:00:00;
"EL102";"N1L025Aug";"N1L025";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";53;"N1Aug";"KB25, on rack";"Isra";2012/9/13 0:00:00;"+ 6 pupae"
"EL103";"N1L024Aug";"N1L024";"N1034";"Larva";"Anopheles";"maculipennis/messae";"NA";1;"N1Aug";"KB25, on rack";"Isra";2012/9/13 0:00:00;
"EL104";"M2L002Aug";"M2L002";"M2002";"Larva";"Aedes";"koreicus";"NA";6;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL105";"M2L004Aug";"M2L004";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";13;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL106";"M2L004Aug";"M2L004";"M2003";"Larva";"Aedes";"koreicus";"NA";12;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL107";"M2L006Aug";"M2L006";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";1;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL108";"M2L006Aug";"M2L006";"M2003";"Larva";"Aedes";"koreicus";"NA";3;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL109";"M2L010Aug";"M2L010";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";19;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL110";"M2L019Aug";"M2L019";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";9;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL111";"M2L019Aug";"M2L019";"M2002";"Larva";"Aedes";"koreicus";"NA";1;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL112";"M2L020Aug";"M2L020";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";2;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL113";"M2L020Aug";"M2L020";"M2002";"Larva";"Aedes";"koreicus";"NA";8;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL114";"M2L021Aug";"M2L021";"M2002";"Larva";"Aedes";"koreicus";"NA";1;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL115";"M2L023Aug";"M2L023";"M2010";"Larva";"Culex";"pipiens/torrentium";"NA";11;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL116";"M2L023Aug";"M2L023";"M2010";"Larva";"Anopheles";"plumbeus";"NA";8;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL117";"M2L024Aug";"M2L024";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";42;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"open bidon"
"EL118";"M2L024Aug";"M2L024";"M2003";"Larva";"Culiseta";"annulata";"NA";1;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"open bidon"
"EL119";"M2L024Aug";"M2L024";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";18;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"white plate"
"EL120";"M2L024Aug";"M2L024";"M2003";"Larva";"Aedes";"koreicus";"NA";26;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"white plate"
"EL121";"M2L025Aug";"M2L025";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";5;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"tyre"
"EL122";"M2L025Aug";"M2L025";"M2003";"Larva";"Culiseta";"annulata";"NA";3;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"tyre"
"EL123";"M2L026Aug";"M2L026";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";69;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"yellow sheet"
"EL124";"M2L026Aug";"M2L026";"M2003";"Larva";"Aedes";"koreicus";"NA";8;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;"yellow sheet"
"EL125";"M2L022Aug";"M2L022";"M2002";"Larva";"Aedes";"koreicus";"NA";33;"M2Aug";"KB25, closet 123";"Isra";2012/9/13 0:00:00;
"EL126";"TRL002Au2";"TRL002";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";8;"TR";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL127";"TRL002Au2";"TRL002";"NA";"Larva";"Anopheles";"plumbeus";"NA";3;"TR";"KB25, closet 123";"Isra";2012/9/14 0:00:00;"1 pupa"
"EL128";"TRL001Au2";"TRL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";21;"TR";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL129";"TRL001Au2";"TRL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";4;"TR";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL130";"TRL001Au2";"TRL001";"NA";"Larva";"Culiseta";"annulata";"NA";2;"TR";"KB25, closet 123";"Isra";2012/9/14 0:00:00;"small larvae"
"EL131";"VPL001Aug";"VPL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";6;"VP";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL132";"VPL001Sep";"VPL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";80;"VP";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL133";"ATL001Au2";"ATL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";16;"AT";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL134";"ATL001Au2";"ATL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";3;"AT";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL135";"ATL001Sep";"ATL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";17;"AT";"KB25, closet 123";"Isra";2012/9/14 0:00:00;
"EL136";"N1L028Sep";"N1L028";"N1023";"Larva";"Culex";"pipiens/torrentium";"NA";6;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"small larvae"
"EL137";"N1L027Sep";"N1L027";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";81;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"small larvae"
"EL138";"N1L018Sep";"N1L018";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";32;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;
"EL139";"N1L023Sep";"N1L023";"N1039";"Larva";"Culex";"h. hortensis";"NA";2;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;
"EL140";"N1L023Sep";"N1L023";"N1039";"Larva";"Culex";"pipiens/torrentium";"NA";3;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;
"EL141";"N1L029Sep";"N1L029";"N1024";"Larva";"Culex";"pipiens/torrentium";"NA";109;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;
"EL142";"N1L001Sep";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";33;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"left, in front"
"EL143";"N1L001Sep";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";100;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"right, back"
"EL144";"N1L001Sep";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";7;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"right, back"
"EL145";"N1L001Sep";"N1L001";"N1007";"Larva";"Culex";"h. hortensis";"NA";1;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"right, back"
"EL146";"N1L004Sep";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";34;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"in front"
"EL147";"N1L004Sep";"N1L004";"N1007";"Larva";"Culex";"h. hortensis";"NA";3;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"in front"
"EL148";"N1L004Sep";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";2;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"in front, small larvae"
"EL149";"N1L004Sep";"N1L004";"N1007";"Larva";"Culiseta";"annulata";"NA";2;"N1Sep";"KB25, on rack";"Isra";2012/10/1 0:00:00;"in front"
"EL150";"N1L004Sep";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";25;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"at the back"
"EL151";"N1L009Sep";"N1L009";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";14;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"rain water barrel"
"EL152";"N1L009Sep";"N1L009";"N1005";"Larva";"Aedes";"j. japonicus";"NA";2;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"rain water barrel"
"EL153";"N1L010Sep";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";12;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"tyres next to stable"
