species;decimallatitude;decimallongitude;eventdate;day;month;year
;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Aedes communis;5.120.348;503.542;2010-05-26T02:00Z;26;5;2010
Culex pipiens;51.085.152;552.061;2010-06-21T02:00Z;21;6;2010
Culex pipiens;;;2010-06-10T02:00Z;10;6;2010
Aedes rusticus;5.100.111;561.205;2010-06-16T02:00Z;16;6;2010
Culex pipiens;5.118.713;456.661;2010-05-27T02:00Z;27;5;2010
Culex pipiens;;;2010-06-02T02:00Z;2;6;2010
Aedes cantans;;;2010-06-02T02:00Z;2;6;2010
Aedes rusticus;5.118.713;456.661;2010-05-27T02:00Z;27;5;2010
Anopheles maculipennis;;;2010-05-26T02:00Z;26;5;2010
Culex pipiens;5.100.111;561.205;2010-06-16T02:00Z;16;6;2010
Aedes cantans;5.106.543;446.866;2010-06-02T02:00Z;2;6;2010
Aedes communis;51.350.769;440.976;2010-05-27T02:00Z;27;5;2010
Aedes cantans;;;2010-06-02T02:00Z;2;6;2010
Culex pipiens;51.350.769;440.976;2010-05-27T02:00Z;27;5;2010
Culiseta annulata;5.110.524;419.417;2010-06-03T02:00Z;3;6;2010
Aedes rusticus;;;2010-06-02T02:00Z;2;6;2010
Aedes cantans;5.119.228;483.718;2010-06-02T02:00Z;2;6;2010
Aedes communis;;;2010-05-26T02:00Z;26;5;2010
Culex pipiens;;;2010-05-26T02:00Z;26;5;2010
Aedes cantans;5.110.524;419.417;2010-06-03T02:00Z;3;6;2010
Culiseta annulata;;;2010-06-02T02:00Z;2;6;2010
Aedes cantans;50.964.642;565.604;2010-06-16T02:00Z;16;6;2010
Aedes rusticus;51.072.491;56.873;2010-06-23T02:00Z;23;6;2010
Aedes cantans;;;2010-05-26T02:00Z;26;5;2010
Aedes detritus;5.118.713;456.661;2010-05-27T02:00Z;27;5;2010
Aedes cinereus;50.999.199;562.209;2010-06-16T02:00Z;16;6;2010
Culex pipiens;5.118.713;456.661;2010-05-27T02:00Z;27;5;2010
Aedes cantans;50.999.199;562.209;2010-06-16T02:00Z;16;6;2010
Culex pipiens;51.103.222;401.675;2010-06-10T02:00Z;10;6;2010
Aedes koreicus;50.996.841;562.486;2010-06-09T02:00Z;9;6;2010
Aedes communis;;;2010-05-26T02:00Z;26;5;2010
Anopheles plumbeus;51.085.152;552.061;2010-06-21T02:00Z;21;6;2010
Culex pipiens;50.906.879;556.684;2010-06-22T02:00Z;22;6;2010
Culex pipiens;51.136.761;555.024;2010-06-21T02:00Z;21;6;2010
Culiseta morsitans;5.100.111;561.205;2010-06-16T02:00Z;16;6;2010
Aedes geniculatus;50.964.642;565.604;2010-06-16T02:00Z;16;6;2010
Aedes cantans;51.136.761;555.024;2010-06-21T02:00Z;21;6;2010
Coquillettidia richiardii;51.085.152;552.061;2010-06-21T02:00Z;21;6;2010
Culiseta annulata;51.085.152;552.061;2010-06-21T02:00Z;21;6;2010
Aedes cantans;;;2010-06-02T02:00Z;2;6;2010
Aedes geniculatus;;;2010-05-27T02:00Z;27;5;2010
Culex pipiens;51.125.919;53.603;2010-06-14T02:00Z;14;6;2010
Aedes cinereus;51.072.491;56.873;2010-06-23T02:00Z;23;6;2010
;50.998.459;511.516;2010-06-08T02:00Z;8;6;2010
Culiseta fumipennis;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Aedes communis;51.038.521;566.941;2010-06-25T02:00Z;25;6;2010
Aedes cinereus;51.103.222;401.675;2010-06-10T02:00Z;10;6;2010
Aedes cantans;51.103.222;401.675;2010-06-10T02:00Z;10;6;2010
Aedes punctor;50.964.642;565.604;2010-06-16T02:00Z;16;6;2010
Aedes cantans;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Culex pipiens;50.999.199;562.209;2010-06-16T02:00Z;16;6;2010
Aedes punctor;50.990.421;561.987;2010-06-09T02:00Z;9;6;2010
Aedes cantans;50.990.421;561.987;2010-06-09T02:00Z;9;6;2010
Anopheles claviger;;;2010-06-02T02:00Z;2;6;2010
Aedes koreicus;50.996.841;562.486;2010-06-09T02:00Z;9;6;2010
Aedes geniculatus;50.964.642;565.604;2010-06-16T02:00Z;16;6;2010
Culiseta morsitans;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Aedes cinereus;50.990.421;561.987;2010-06-09T02:00Z;9;6;2010
Aedes cantans;50.998.459;511.516;2010-06-08T02:00Z;8;6;2010
Anopheles plumbeus;50.906.879;556.684;2010-06-22T02:00Z;22;6;2010
Coquillettidia richiardii;50.906.879;556.684;2010-06-22T02:00Z;22;6;2010
Aedes cinereus;50.964.642;565.604;2010-06-16T02:00Z;16;6;2010
Culex pipiens;5.102.272;525.449;2010-06-14T02:00Z;14;6;2010
Aedes dorsalis;51.038.521;566.941;2010-06-25T02:00Z;25;6;2010
Anopheles maculipennis;50.998.459;511.516;2010-06-08T02:00Z;8;6;2010
Aedes cinereus;50.973.492;561.443;2010-06-09T02:00Z;9;6;2010
Anopheles plumbeus;51.213.581;419.383;2010-06-07T02:00Z;7;6;2010
Coquillettidia richiardii;50.964.642;565.604;2010-06-16T02:00Z;16;6;2010
Aedes geniculatus;50.990.421;561.987;2010-06-09T02:00Z;9;6;2010
Culiseta annulata;51.000.629;451.725;2009-09-15T02:00Z;15;9;2009
Culex pipiens;5.102.272;525.449;2010-06-14T02:00Z;14;6;2010
;51.072.491;56.873;2010-06-23T02:00Z;23;6;2010
Anopheles claviger;5.110.524;419.417;2010-06-03T02:00Z;3;6;2010
Culiseta annulata;50.973.492;561.443;2010-06-09T02:00Z;9;6;2010
Culex pipiens;51.000.629;451.725;2009-09-15T02:00Z;15;9;2009
Aedes cinereus;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Aedes cantans;50.973.492;561.443;2010-06-09T02:00Z;9;6;2010
Culex pipiens;5.121.349;419.275;2010-06-07T02:00Z;7;6;2010
Anopheles plumbeus;5.121.349;419.275;2010-06-07T02:00Z;7;6;2010
Aedes cantans;51.038.521;566.941;2010-06-25T02:00Z;25;6;2010
Culex pipiens;51.000.629;451.725;2009-09-15T02:00Z;15;9;2009
Culex pipiens;5.101.543;509.966;2010-06-08T02:00Z;8;6;2010
Coquillettidia richiardii;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Aedes geniculatus;51.213.581;419.383;2010-06-07T02:00Z;7;6;2010
Culex pipiens;51.213.581;419.383;2010-06-07T02:00Z;7;6;2010
Culex pipiens;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Culiseta fumipennis;51.052.662;562.866;2010-06-23T02:00Z;23;6;2010
Anopheles maculipennis;5.106.319;420.551;2009-09-16T02:00Z;16;9;2009
Aedes punctor;50.973.492;561.443;2010-06-09T02:00Z;9;6;2010
Culex pipiens;;;2009-09-15T02:00Z;15;9;2009
Aedes geniculatus;51.213.581;419.383;2010-06-07T02:00Z;7;6;2010
Aedes cantans;51.119.968;50.182;2010-06-07T02:00Z;7;6;2010
;50.973.492;561.443;2010-06-09T02:00Z;9;6;2010
Aedes cantans;51.024.078;559.632;2010-06-16T02:00Z;16;6;2010
Culex pipiens;51.119.968;50.182;2010-06-07T02:00Z;7;6;2010
Culex pipiens;;;2009-09-08T02:00Z;8;9;2009
Culiseta annulata;5.106.543;446.866;2010-06-02T02:00Z;2;6;2010
Culex pipiens;5.095.932;557.015;2010-06-22T02:00Z;22;6;2010
Culex pipiens;50.973.492;561.443;2010-06-09T02:00Z;9;6;2010
Culex pipiens;50.938.229;489.712;2009-09-09T02:00Z;9;9;2009
Culex pipiens;51.144.581;484.028;2009-09-02T02:00Z;2;9;2009
;50.467.121;407.348;2008-09-18T02:00Z;18;9;2008
Culex pipiens;51.024.078;559.632;2010-06-16T02:00Z;16;6;2010
Culex pipiens;50.467.121;407.348;2008-09-18T02:00Z;18;9;2008
;50.990.421;561.987;2010-06-09T02:00Z;9;6;2010
Aedes cantans;50.467.121;407.348;2008-09-18T02:00Z;18;9;2008
Anopheles claviger;5.118.763;394.216;2009-09-08T02:00Z;8;9;2009
Culex pipiens;51.144.581;484.028;2009-09-02T02:00Z;2;9;2009
Culex pipiens;5.106.319;420.551;2009-09-16T02:00Z;16;9;2009
Culex pipiens;5.118.763;394.216;2009-09-08T02:00Z;8;9;2009
Culex pipiens;51.091.251;512.517;2009-09-14T02:00Z;14;9;2009
Culex torrentium;51.144.581;484.028;2009-09-02T02:00Z;2;9;2009
Coquillettidia richiardii;5.095.932;557.015;2010-06-22T02:00Z;22;6;2010
Culex pipiens;51.066.769;513.568;2010-06-08T02:00Z;8;6;2010
Culiseta annulata;5.106.319;420.551;2009-09-16T02:00Z;16;9;2009
Culex pipiens;;;2009-09-08T02:00Z;8;9;2009
Culiseta annulata;50.900.429;549.619;2010-06-15T02:00Z;15;6;2010
Culex pipiens;51.096.352;416.677;2009-09-15T02:00Z;15;9;2009
Culex pipiens;;;2009-09-15T02:00Z;15;9;2009
Coquillettidia richiardii;51.053.101;525.061;2010-06-14T02:00Z;14;6;2010
Anopheles claviger;5.089.613;419.777;2009-09-22T02:00Z;22;9;2009
Aedes cantans;51.072.491;56.873;2010-06-23T02:00Z;23;6;2010
Culex pipiens;;;2009-09-15T02:00Z;15;9;2009
Anopheles plumbeus;51.213.581;419.383;2010-06-07T02:00Z;7;6;2010
Culex pipiens;;;2009-09-16T02:00Z;16;9;2009
Culex pipiens;5.118.763;394.216;2009-09-08T02:00Z;8;9;2009
Culex pipiens;5.115.683;277.039;2009-09-30T02:00Z;30;9;2009
Culex pipiens;;;2009-09-23T02:00Z;23;9;2009
Aedes cinereus;50.467.121;407.348;2008-09-18T02:00Z;18;9;2008
Aedes geniculatus;5.121.349;419.275;2010-06-07T02:00Z;7;6;2010
Culex pipiens;50.932.209;455.701;2009-09-22T02:00Z;22;9;2009
Culex pipiens;;;2009-09-23T02:00Z;23;9;2009
Culiseta annulata;5.099.538;473.831;2009-09-09T02:00Z;9;9;2009
Culex pipiens;50.911.171;468.449;2009-09-16T02:00Z;16;9;2009
Culex pipiens;5.099.538;473.831;2009-09-09T02:00Z;9;9;2009
Culex pipiens;;;2009-09-09T02:00Z;9;9;2009
Anopheles claviger;5.117.263;389.326;2009-09-08T02:00Z;8;9;2009
Culiseta annulata;50.938.229;489.712;2009-09-09T02:00Z;9;9;2009
Culex pipiens;51.096.352;416.677;2009-09-15T02:00Z;15;9;2009
Culex pipiens;;;2009-09-15T02:00Z;15;9;2009
Culex pipiens;;;2009-09-23T02:00Z;23;9;2009
Culex pipiens;50.467.121;407.348;2008-09-18T02:00Z;18;9;2008
Culex pipiens;50.932.209;455.701;2009-09-22T02:00Z;22;9;2009
Culex pipiens;5.100.771;396.014;2009-09-29T02:00Z;29;9;2009
Anopheles claviger;5.106.319;420.551;2009-09-16T02:00Z;16;9;2009
Anopheles claviger;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;;;2009-09-23T02:00Z;23;9;2009
Culex pipiens;5.106.319;420.551;2009-09-16T02:00Z;16;9;2009
Culex pipiens;50.998.459;511.516;2010-06-08T02:00Z;8;6;2010
Anopheles plumbeus;5.089.613;419.777;2009-09-22T02:00Z;22;9;2009
Culex pipiens;50.019.901;439.729;2009-08-25T02:00Z;25;8;2009
Culex pipiens;;;2009-09-01T02:00Z;1;9;2009
Culex pipiens;51.130.169;490.037;2009-09-02T02:00Z;2;9;2009
Culex pipiens;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;50.719.719;609.002;2009-08-11T02:00Z;11;8;2009
Culex pipiens;;;2009-09-23T02:00Z;23;9;2009
Aedes geniculatus;50.516.811;588.244;2009-08-11T02:00Z;11;8;2009
Culex pipiens;5.089.613;419.777;2009-09-22T02:00Z;22;9;2009
Culex pipiens;50.251.019;609.752;2009-08-18T02:00Z;18;8;2009
Anopheles claviger;;;2009-09-23T02:00Z;23;9;2009
Culiseta annulata;;;2009-09-16T02:00Z;16;9;2009
Culex pipiens;;;2009-10-06T02:00Z;6;10;2009
Culex pipiens;50.977.139;370.604;2009-09-29T02:00Z;29;9;2009
Aedes geniculatus;50.019.901;439.729;2009-08-25T02:00Z;25;8;2009
Culex pipiens;;;2009-09-16T02:00Z;16;9;2009
Aedes geniculatus;;;2009-08-18T02:00Z;18;8;2009
Culex pipiens;50.251.019;609.752;2009-08-18T02:00Z;18;8;2009
Culex pipiens;;;2009-10-06T02:00Z;6;10;2009
Anopheles claviger;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;5.099.538;473.831;2009-09-09T02:00Z;9;9;2009
Culex pipiens;5.100.771;396.014;2009-09-29T02:00Z;29;9;2009
Culex pipiens;50.516.811;588.244;2009-08-11T02:00Z;11;8;2009
Culex pipiens;51.408.081;484.979;2009-08-31T02:00Z;31;8;2009
Culex pipiens;51.053.101;525.061;2010-06-14T02:00Z;14;6;2010
Culex pipiens;5.101.458;568.897;2009-09-08T02:00Z;8;9;2009
Culex pipiens;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;5.124.474;475.273;2009-09-07T02:00Z;7;9;2009
Culex pipiens;51.056.252;451.056;2009-09-09T02:00Z;9;9;2009
Culex pipiens;51.312.191;31.732;2009-09-30T02:00Z;30;9;2009
Culex pipiens;;;2009-09-08T02:00Z;8;9;2009
Culiseta annulata;51.056.252;451.056;2009-09-09T02:00Z;9;9;2009
Culex torrentium;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;;;2009-08-18T02:00Z;18;8;2009
Culex pipiens;50.079.689;434.853;2009-08-25T02:00Z;25;8;2009
Culex pipiens;51.047.508;46.483;2009-09-09T02:00Z;9;9;2009
Culex torrentium;;;2009-08-30T02:00Z;30;8;2009
Culex pipiens;51.408.081;484.979;2009-08-31T02:00Z;31;8;2009
Aedes geniculatus;;;2009-08-02T02:00Z;2;8;2009
Aedes geniculatus;;;2009-09-08T02:00Z;8;9;2009
Anopheles claviger;;;2009-08-16T02:00Z;16;8;2009
Anopheles claviger;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;51.166.359;561.523;2009-09-08T02:00Z;8;9;2009
Culex pipiens;50.762.798;359.848;2009-08-16T02:00Z;16;8;2009
Culex torrentium;51.044.647;4.845.042;2009-09-09T02:00Z;9;9;2009
Aedes cantans;;;2009-08-02T02:00Z;2;8;2009
Culex pipiens;51.136.688;487.342;2009-09-02T02:00Z;2;9;2009
Culex torrentium;5.126.799;484.713;2009-09-07T02:00Z;7;9;2009
Culex pipiens;51.047.508;46.483;2009-09-09T02:00Z;9;9;2009
Culex pipiens;51.130.169;490.037;2009-09-02T02:00Z;2;9;2009
Culex pipiens;;;2009-08-30T02:00Z;30;8;2009
Aedes japonicus;50.719.719;609.002;2009-08-11T02:00Z;11;8;2009
Culex pipiens;50.902.901;565.833;2009-09-15T02:00Z;15;9;2009
Anopheles maculipennis;51.361.626;425.157;2009-08-31T02:00Z;31;8;2009
Culex pipiens;51.354.519;432.338;2009-08-31T02:00Z;31;8;2009
Culex torrentium;50.902.901;565.833;2009-09-15T02:00Z;15;9;2009
Culex pipiens;51.361.626;425.157;2009-08-31T02:00Z;31;8;2009
Anopheles plumbeus;51.044.647;4.845.042;2009-09-09T02:00Z;9;9;2009
Culiseta morsitans;499.398;573.903;2007-07-24T02:00Z;24;7;2007
Culex pipiens;51.094.311;55.819;2009-09-08T02:00Z;8;9;2009
Culex pipiens;5.126.799;484.713;2009-09-07T02:00Z;7;9;2009
Culex pipiens;51.024.059;0.23834;2009-09-16T02:00Z;16;9;2009
Culex pipiens;;;2009-08-30T02:00Z;30;8;2009
Culex pipiens;;;2009-08-16T02:00Z;16;8;2009
Culex pipiens;51.044.647;4.845.042;2009-09-09T02:00Z;9;9;2009
Culex pipiens;51.354.519;432.338;2009-08-31T02:00Z;31;8;2009
Culex pipiens;51.198.589;477.214;2009-09-07T02:00Z;7;9;2009
Culex pipiens;51.321.152;467.773;2009-08-31T02:00Z;31;8;2009
Culex pipiens;51.136.688;487.342;2009-09-02T02:00Z;2;9;2009
Anopheles claviger;51.056.252;451.056;2009-09-09T02:00Z;9;9;2009
Culex pipiens;51.198.589;477.214;2009-09-07T02:00Z;7;9;2009
Culex pipiens;51.166.359;561.523;2009-09-08T02:00Z;8;9;2009
Culex pipiens;51.044.647;4.845.042;2009-09-09T02:00Z;9;9;2009
Culex pipiens;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Culex pipiens;51.154.789;272.965;2009-09-30T02:00Z;30;9;2009
Aedes caspius;51.361.626;425.157;2009-08-31T02:00Z;31;8;2009
Culex pipiens;51.041.939;274.068;2008-08-03T02:00Z;3;8;2008
Culex torrentium;51.354.519;432.338;2009-08-31T02:00Z;31;8;2009
Culex pipiens;51.274.349;498.627;2009-09-14T02:00Z;14;9;2009
Aedes cinereus;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Culex pipiens;51.203.972;509.483;2009-09-14T02:00Z;14;9;2009
Aedes punctor;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Anopheles claviger;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Culex pipiens;50.697.491;359.678;2007-08-13T02:00Z;13;8;2007
Culex pipiens;50.931.782;540.225;2009-09-20T02:00Z;20;9;2009
Culiseta annulata;51.041.939;274.068;2008-08-03T02:00Z;3;8;2008
Culex pipiens;50.913.391;566.334;2009-09-15T02:00Z;15;9;2009
Anopheles claviger;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Culex pipiens;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Anopheles plumbeus;499.398;573.903;2007-07-24T02:00Z;24;7;2007
Culiseta annulata;51.136.688;487.342;2009-09-02T02:00Z;2;9;2009
Culex pipiens;50.931.782;540.225;2009-09-20T02:00Z;20;9;2009
Aedes caspius;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Culex pipiens;5.126.799;484.713;2009-09-07T02:00Z;7;9;2009
Culex pipiens;;;2009-09-08T02:00Z;8;9;2009
Culex pipiens;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Culex pipiens;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Aedes punctor;499.398;573.903;2007-07-24T02:00Z;24;7;2007
Aedes cinereus;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Culiseta annulata;51.203.972;509.483;2009-09-14T02:00Z;14;9;2009
Culex pipiens;499.398;573.903;2007-07-24T02:00Z;24;7;2007
Culex pipiens;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Aedes vexans;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Aedes geniculatus;50.611.179;340.837;2008-08-24T02:00Z;24;8;2008
Aedes cantans;50.638.851;341.928;2008-08-24T02:00Z;24;8;2008
Culex pipiens;499.398;573.903;2007-07-24T02:00Z;24;7;2007
Anopheles plumbeus;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Aedes cinereus;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Anopheles claviger;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Anopheles claviger;51.041.939;274.068;2008-08-03T02:00Z;3;8;2008
Anopheles maculipennis;51.041.939;274.068;2008-08-03T02:00Z;3;8;2008
Aedes cantans;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Aedes vexans;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Culex pipiens;50.638.851;341.928;2008-08-24T02:00Z;24;8;2008
Coquillettidia richiardii;499.398;573.903;2007-07-24T02:00Z;24;7;2007
Aedes vexans;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Culex pipiens;50.697.491;359.678;2007-08-13T02:00Z;13;8;2007
Culex pipiens;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Aedes sticticus;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Aedes communis;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Culex pipiens;51.041.939;274.068;2008-08-03T02:00Z;3;8;2008
;5.101.458;568.897;2009-09-08T02:00Z;8;9;2009
Aedes caspius;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Culex pipiens;50.638.851;341.928;2008-08-24T02:00Z;24;8;2008
Anopheles maculipennis;50.638.851;341.928;2008-08-24T02:00Z;24;8;2008
Anopheles claviger;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Aedes cantans;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Anopheles plumbeus;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culex pipiens;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes geniculatus;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Aedes cinereus;50.611.179;340.837;2008-08-24T02:00Z;24;8;2008
Culiseta annulata;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Anopheles maculipennis;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Aedes annulipes;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes vexans;50.611.179;340.837;2008-08-24T02:00Z;24;8;2008
Aedes cinereus;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Coquillettidia richiardii;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Coquillettidia richiardii;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Aedes cinereus;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Culiseta annulata;50.611.179;340.837;2008-08-24T02:00Z;24;8;2008
;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Culex pipiens;50.611.179;340.837;2008-08-24T02:00Z;24;8;2008
Culex pipiens;50.991.829;516.745;2008-08-19T02:00Z;19;8;2008
Culex pipiens;51.236.321;434.877;2008-07-02T02:00Z;2;7;2008
Anopheles plumbeus;51.047.508;46.483;2009-09-09T02:00Z;9;9;2009
Culiseta annulata;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Culiseta morsitans;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Culex pipiens;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes communis;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Aedes vexans;50.611.179;340.837;2008-08-24T02:00Z;24;8;2008
Aedes annulipes;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Aedes cinereus;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes punctor;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Aedes cinereus;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes cinereus;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Culex pipiens;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Aedes caspius;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Culiseta morsitans;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes cantans;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes sticticus;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes detritus;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Aedes communis;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes cinereus;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes vexans;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes punctor;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Aedes communis;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Aedes vexans;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Coquillettidia richiardii;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Coquillettidia richiardii;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Anopheles claviger;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes annulipes;51.236.321;434.877;2008-07-02T02:00Z;2;7;2008
Coquillettidia richiardii;51.236.321;434.877;2008-07-02T02:00Z;2;7;2008
;5.078.923;299.277;2007-07-29T02:00Z;29;7;2007
Coquillettidia richiardii;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culiseta annulata;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes cantans;5.105.722;558.181;2008-08-12T02:00Z;12;8;2008
Anopheles claviger;51.236.321;434.877;2008-07-02T02:00Z;2;7;2008
Culex pipiens;51.032.089;514.074;2008-08-13T02:00Z;13;8;2008
Culiseta morsitans;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Culiseta annulata;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culiseta annulata;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culiseta morsitans;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culex pipiens;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes vexans;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Anopheles claviger;50.950.611;531.507;2008-08-26T02:00Z;26;8;2008
Culex pipiens;50.950.611;531.507;2008-08-26T02:00Z;26;8;2008
Culex pipiens;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Anopheles maculipennis;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes cantans;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes sticticus;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
